Reservoir,Site,Depth_m,Filter,DataStream,Sample_ID,Sample_Date,start_parameter,end_parameter,flag,notes
FCR,100,0.1,T,Metals,15,2019-07-22,Mn_mgL,Mn_mgL,8,observation seems abnormally high.
FCR,100.1,0.1,T,Metals,29,2020-03-24,Li_mgL,Ba_mgL,10,Sample was originally labelled; '03/24/2020 - 29 (decant)'; name was edited for ease of automation
FCR,100.1,0.1,T,Metals,30,2020-03-24,Li_mgL,Ba_mgL,10,Sample was originally labelled; '03/24/2020 - 30 (decant)'; name was edited for ease of automation
FCR,100.1,0.1,T,Metals,29,2020-04-20,Li_mgL,Ba_mgL,10,Sample was originally labelled; '04/20/2020 - 29 (decant)'; name was edited for ease of automation
FCR,100.1,0.1,T,Metals,30,2020-04-20,Li_mgL,Ba_mgL,10,Sample was originally labelled; '04/20/2020 - 30 (decant)'; name was edited for ease of automation
BVR,50,9.0,S,Metals,26,2020-04-20,Si_mgL,Si_mgL,8,observation seems abnormally high.
BVR,50,10,T,Metals,67,2020-09-02,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,2020-10-05,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,S,Metals,18,2020-10-05,Li_mgL,Ba_mgL,10,Filtered sample had particulates. Set to NA for improper procedure
FCR,100,0.1,T,Metals,15,2020-11-02,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,2021-02-26,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,2021-02-26,Li_mgL,Ba_mgL,10,Filtered sample had particulates. Set to NA for improper procedure
FCR,100,0.1,T,Metals,15,2021-03-22,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,2021-03-22,Li_mgL,Ba_mgL,10,Filtered sample had particulates. Set to NA for improper procedure
FCR,200,0.1,T,Metals,17,2021-03-22,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,S,Metals,18,2021-03-22,Li_mgL,Ba_mgL,10,Filtered sample had particulates. Set to NA for improper procedure
FCR,100,0.1,T,Metals,15,2021-04-16,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,2021-04-16,Li_mgL,Ba_mgL,10,Filtered sample had particulates. Set to NA for improper procedure
FCR,200,0.1,T,Metals,17,2021-04-26,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,2021-05-06,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,2021-05-24,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,2021-05-24,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,2021-06-21,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,2021-06-21,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,2021-06-21,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,S,Metals,18,2021-06-21,Li_mgL,Ba_mgL,6,sample had particulates and was microwave digested. See digestion notebook
