Initials,Sample_ID,Day_Filtered,Filter_mass_pre_filtering_g,Filter_mass_post_filtering_g,Volume_filtered_mL,Leftover,Notes
NWH,Sed 8M R1 F1 2 Sep 19 FCR,,0.1151,0.1205,100,388mL,
NWH,Sed 8M R1 F2 2 Sep 19 FCR ,,0.113,0.1192,100,,
NWH,Sed 8M R2 F1 2 Sep 19 FCR ,,0.1148,0.1278,100,365mL,
NWH,Sed 8M R2 F2 2 Sep 19 FCR ,,0.1152,0.1297,100,,
ASL,Sed Trap Leftover 5M B 4 Sep 19,,0.1148,0.1169,300,,
ASL,ST Leftover 10m R1 B 4 Sep 19 ,,0.1147,0.1163,335,,
ASL,ST Leftover 10m R1 B 4 Sep 19 ,,0.1143,0.1181,240,,
ASL,ST Leftover 10m R2 B 4 Sep 19,,0.114,0.1177,250,,
JTM,Sed 5m R1 F1 4 Sep 19 BVR ,5-Sep-19,0.1149,0.1183,100,330mL,
JTM,Sed 5m R1 F2 4 Sep 19 BVR ,5-Sep-19,0.1145,0.1188,100,330mL,
JTM,Sed 5m R2 F1 4 Sep 19 BVR ,5-Sep-19,0.1146,0.1187,100,325mL,
JTM,Sed 5m R2 F2 4 Sep 19 BVR ,5-Sep-19,0.1147,0.1189,100,325mL,
JTM,Sed 10m R1 F1 4 Sep 19 BVR ,5-Sep-19,0.114,0.1249,100,325mL,
JTM,Sed 10m R1 F2 4 Sep 19 BVR ,5-Sep-19,0.1146,0.1197,100,325mL,
JTM,Sed 10m R2 F1 4 Sep 19 BVR ,5-Sep-19,0.1147,0.128,100,350mL,
JTM,Sed 10m R2 F2 4 Sep 19 BVR ,5-Sep-19,0.1142,0.1278,100,350mL,
JHW,Sed 5m R1 F1 4 Oct 19 BVR,5-Oct-19,0.1155,0.1186,100,1470mL,
JHW,Sed 5m R1 F2 4 Oct 19 BVR ,5-Oct-19,0.1158,,100,1470mL,
JHW,Sed 5m R2 F1 4 Oct 19 BVR,5-Oct-19,0.1139,0.1231,200,1360mL,
JHW,Sed 5m R2 F2 4 Oct 19 BVR,5-Oct-19,0.1148,0.119,200,1360mL,
JHW,Sed 10m R1 F1 4 Oct 19 BVR ,5-Oct-19,0.1146,0.1269,100,1550mL,
JHW,Sed 10m R1 F2 4 Oct 19 BVR,5-Oct-19,0.1141,0.1248,100,1550mL,
JHW,Sed 10m R2 F1 4 Oct 19 BVR,5-Oct-19,0.1147,0.1232,100,1575mL,
JHW,Sed 10m R2 F2 4 Oct 19 BVR ,5-Oct-19,0.115,0.1236,100,1575mL,
JHW,Sed 4m R1 F1 23 Oct 19 FCR,24-Oct-19,0.1138,0.1247,200,1480mL,
JHW,Sed 4m R1 F2 23 Oct 19 FCR,24-Oct-19,0.1143,0.1192,100,1480mL,
JHW,Sed 4m R2 F1 23 Oct 19 FCR,24-Oct-19,0.1144,0.1193,100,1510mL,
JHW,Sed 4m R2 F2 23 Oct 19 FCR,24-Oct-19,0.114,0.1183,100,1510mL,
JHW,Sed 8m R1 F1 23 Oct 19 FCR ,24-Oct-19,0.1145,0.1368,100,1605mL,
JHW,Sed 8m R1 F2 23 Oct 19 FCR ,24-Oct-19,0.1143,0.124,50,1605mL,A litle bit of filter paper came off 
JHW,Sed 8m R2 F1 23 Oct 19 FCR,24-Oct-19,0.1138,0.1283,50,1685mL,
JHW,Sed 8m R2 F2 23 Oct 19 FCR ,24-Oct-19,0.1141,0.1253,50,1685mL,
JHW,Sed 4m R1 F1 8 Nov 19 FCR,14-Nov-19,0.115,0.1228,150,1215mL left ,Filtered 6 days later
JHW,Sed 4m R1 F2 8 Nov 19 FCR,14-Nov-19,0.1147,0.1247,150,1215mL left ,Filtered 6 days later
JHW,Sed 4m R2 F1 8 Nov 19 FCR ,14-Nov-19,0.1147,0.126,150,1445mL left,Filtered 6 days later
JHW,Sed 4m R2 F2 8 Nov 19 FCR ,14-Nov-19,0.1142,0.1264,150,1444mL left,Filtered 6 days later
JHW,Sed 8m R1 F1 8 Nov 19 FCR ,14-Nov-19,0.1138,0.127,50,1160mL left,Filtered 6 days later
JHW,Sed 8m R1 F2 8 Nov 19 FCR ,14-Nov-19,0.1142,0.126,50,1160mL left,Filtered 6 days later/A little bit of filter paper came off 
JHW,Sed 8m R2 F1 8 Nov 19 FCR ,14-Nov-19,0.1141,0.1224,50,1640mL left,Filtered 6 days later
JHW ,Sed 8m R2 F2 8 Nov 19 FCR ,14-Nov-19,0.114,0.1229,50,1640mL left,Filtered 6 days later
JTM,Sed 4m R1 F2 5 Aug 19 FCR,6-Aug-19,0.1136,0.1205,100,,
JTM,Sed 4m R2 F1 5 Aug 19 FCR,6-Aug-19,0.1139,0.1215,100,,
JTM,Sed 4m R2 F2 5 Aug 19 FCR ,6-Aug-19,0.1139,0.1219,100,,
JTM,Sed 8m R1 F1 5 Aug 19 FCR ,6-Aug-19,0.1149,0.1245,100,,
JTM,Sed 8m R1 F2 5 Aug 19 FCR ,6-Aug-19,0.1147,0.1244,100,,
JTM,Sed 8m R2 F1 5 Aug 19 FCR,6-Aug-19,0.1143,0.1239,100,,
JTM,Sed 8m R2 F2 5 Aug 19 FCR ,6-Aug-19,0.1136,0.1253,100,,
ASL,Sed Trap Leftover 8 Aug 19 5m R2 ,8-Aug-19,0.1138,0.1165,340,,
ASL,Sed Trap Leftover 8 Aug 19 5m R1 ,8-Aug-19,0.1139,0.117,300,,
ASL,Sed Trap Leftover 8 Aug 19 10m R2 ,8-Aug-19,0.1147,0.1168,450,,
ASL,Sed Trap Leftover 8 Aug 19 10m R1 ,8-Aug-19,0.1141,0.1173,300,,
ASL,Ses net 5 Aug 19 F1,8-Aug-19,0.1142,0.1434,26,,
ASL,Ses net 5 Aug 19 F2,8-Aug-19,0.1137,0.1427,28.5,,Another labelled F2 0.1479
ASL,Ses net 5 Aug 19 F3 ,8-Aug-19,0.1144,,25.5,,
JHW,BVR 8 Aug 19 Sed Trap 5m R2 F1 ,9-Aug-19,0.1138,0.1234,100,,
JHW,BVR 8 Aug 19 Sed Trap 5m R2 F2 ,9-Aug-19,0.1141,0.1233,100,,
JHW,BVR 8 Aug 19 Sed Trap 5m R1 F1 ,9-Aug-19,0.1152,0.1236,100,,
JHW,BVR 8 Aug 19 Sed Trap 5m R1 F2 ,9-Aug-19,0.1149,0.1239,100,,
JHW,BVR 8 Aug 19 Sed Trap 10m R1 F1,9-Aug-19,0.1141,0.125,75,,
JHW,BVR 8 Aug 19 Sed Trap 10m R1 F2,9-Aug-19,0.1155,,75,,
JHW,Sed 10m R2 F1 8 Aug 19 BVR ,9-Aug-19,0.1149,0.1249,75,,
JHW,sed 10m R2 F2 8 Aug 19 BVR ,9-Aug-19,0.1142,0.1267,75,,
ASL,Ses net 12 Aug 19 F1,13-Aug-19,0.115,0.2568,25,,Aug 13 written on the back
ASL,Ses net 12 Aug 19 F2 ,13-Aug-19,0.1151,0.2396,25,,Aug 13 written on the back
ASL,Ses net 12 Aug 19 F3,13-Aug-19,0.1152,0.2207,25,,Aug 13 written on the back
JHW,Sed Trap Leftover 19 Aug 19 4m R1 FCR ,19-Aug-19,0.1135,0.1163,300,,
JHW,Sed Trap Leftover 19 Aug 19 4m R2 FCR ,19-Aug-19,0.1137,0.1156,300,,
JHW,FCR Sed Trap Leftover 19 Aug 19 8m R1,19-Aug-19,0.1139,0.1276,200,,
JHW,FCR Sed Trap Leftover 19 Aug 19 8m R2,19-Aug-19,0.1135,0.1248,200,,
JTM ,Sed 4m R1 F1 19 Aug 19 FCR ,20-Aug-19,0.1136,0.1203,100,,
JTM,Sed 4m R1 F2 19 Aug 19 FCR,20-Aug-19,0.1144,0.1218,100,,
JTM,Sed 4m R2 F1 19 Aug 19 FCR,20-Aug-19,0.1144,0.1218,100,,
JTM,Sed 4m R2 F2 19 Aug 19 FCR,20-Aug-19,0.1138,0.1197,100,,
JTM,Sed 8m R1 F1 19 Aug 19 FCR ,20-Aug-19,0.114,0.1291,50,,
JTM,Sed 8m R1 F2 19 Aug 19 FCR ,20-Aug-19,0.1134,0.1261,50,,
JTM,Sed 8m R2 F1 19 Aug 19 FCR ,20-Aug-19,0.1135,0.1262,50,,
JTM,Sed 8m R2 F2 19 Aug 19 FCR,20-Aug-19,0.1142,0.1265,50,,
JTM,Sed 5m R1 F1 22 Aug 19 BVR ,23-Aug-19,0.1145,0.1193,100,,
JTM,Sed 5m R1 F2 22 Aug 19 BVR ,23-Aug-19,0.1136,0.1176,100,,
JHW,Sed 10m R1 F1 22 Aug 19 BVR ,23-Aug-19,0.1145,0.1263,100,275mL,
JHW,Sed 10m R1 F2 22 Aug 19 BVR ,23-Aug-19,0.1157,0.1267,100,275mL,
JTM ,Sed 5m R2 F1 22 Aug 19 BVR ,23-Aug-19,0.1153,0.1195,100,325mL,
JTM ,Sed 5m R2 F2 22 Aug 19 BVR ,23-Aug-19,0.1145,0.12,100,325mL,
JHW,Sed 10m R2 F1 22 Aug 19 BVR ,23-Aug-19,0.1139,0.125,100,335mL,
JHW,Sed 10m R2 F2 22 Aug 19 BVR ,23-Aug-19,0.114,0.1242,100,335mL,
ASL ,Sed Trap Leftover 8m R1 2 Sep 19 ,2-Sep-19,0.114,0.1208,120,,
ASL ,ST leftover F1 8m R2 2 Sep 19 ,2-Sep-19,0.1146,,x,,
ASL,ST leftover F2 8m R2 2 Sep 19 ,2-Sep-19,0.1144,0.1171,y,,Where x+y = 320 
ASL,ST leftover 4m R2 2 Sep 19 ,2-Sep-19,0.1145,0.1179,210,,
ASL ,ST leftover 4m R2 2 Sep 19 ,2-Sep-19,0.1145,0.1121,190,,
NWH,Sed 4m R1 F1 2 Sep 19 FCR,2-Sep-19,0.1137,0.1168,100,360mL,
NWH,Sed 4m R1 F2 2 Sep 19 FCR ,2-Sep-19,0.1153,0.1163,100,,
NWH,Sed 4m R2 F1 2 Sep 19 FCR ,2-Sep-19,0.1147,0.1186,100,370mL,
NWH,Sed 4m R2 F2 2 Sep 19 FCR,2-Sep-19,0.1142,0.1176,100,,
ASL ,Sed Trap Leftover 25 Jul 10m R1 ,25-Jul-19,0.1132,0.1162,375,,
ASL,Sed Trap Leftover 25 Jul 5m R1,25-Jul-19,0.1145,0.1175,500,,
