"Reservoir","Site","Site_description","Latitude","Longitude"
"BVR",40,"Pelagic upstream site in Beaverdam Reservoir at the location of the upstream pipe outflow leading to Falling Creek Reservoir",37.314783,-79.820864
"BVR",50,"Pelagic deep hole site nearest to dam; at BVR platform closest to dam",37.31288,-79.8159
"BVR",49,"Littoral site southeast of site 50 used for zooplankton horizontal migration research",37.312596,-79.815657
"CCR",50,"Pelagic deep hole site of Carvins Cove Reservoir near dam (also site 6 for Ironman sampling); the closest access point to the dam via boat and 21 m at full pond",37.3706,-79.9582
"CCR",51,"Pelagic site directly at the dam sampled from dam walkway (site of sensors); can be sampled to 19m at full pond",37.3697,-79.958
"FCR",10,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; halfway between confluence of Tunnel Branch and Falling Creek inflows",37.308619,-79.836774
"FCR",20,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; adjacent to where Tunnel Branch inflow enters into the reservoir",37.30769,-79.8371
"FCR",30,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; approximately halfway between dam and Falling Creek inflow",37.30534,-79.8383
"FCR",40,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; reservoir transitional zone where distinct epilimnion/hypolimnion layers form",37.30454779,-79.83848189
"FCR",45,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; where reservoir flow enters into the deep hole basin of the reservoir",37.30418,-79.8383
"FCR",50,"Pelagic deep hole site nearest to Falling Creek Reservoir dam; at end of FCR catwalk",37.30325,-79.8373
"GWR",50,"Pelagic deep hole nearest to dam at Gatewood Reservoir",37.04435281,-80.86329915
"SHR",50,"Pelagic deep hole nearest to dam at Spring Hollow Reservoir",37.23085223,-80.17590014
