attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir;BVR=Beaverdam Reservoir	character			NA	value is missing
Site	Sampling site within each reservoir;50=Deep hole or site nearest to dam in the reservoir, attached to the platform 	numeric			NA	value is missing
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time not observed, GMT -5"	Date		YYYY-MM-DD HH:MM:SS	NA	value is missing
ThermistorTemp_C_1	water temperature measured by thermistor at position 1 (highest elevation above sediments)	numeric	celsius		NA	value is missing
ThermistorTemp_C_2	water temperature measured by thermistor at position 2	numeric	celsius		NA	value is missing
ThermistorTemp_C_3	water temperature measured by thermistor at position 3	numeric	celsius		NA	value is missing
ThermistorTemp_C_4	water temperature measured by thermistor at position 4	numeric	celsius		NA	value is missing
ThermistorTemp_C_5	water temperature measured by thermistor at position 5	numeric	celsius		NA	value is missing
ThermistorTemp_C_6	water temperature measured by thermistor at position 6	numeric	celsius		NA	value is missing
ThermistorTemp_C_7	water temperature measured by thermistor at position 7	numeric	celsius		NA	value is missing
ThermistorTemp_C_8	water temperature measured by thermistor at position 8	numeric	celsius		NA	value is missing
ThermistorTemp_C_9	water temperature measured by thermistor at position 9	numeric	celsius		NA	value is missing
ThermistorTemp_C_10	water temperature measured by thermistor at position 10	numeric	celsius		NA	value is missing
ThermistorTemp_C_11	water temperature measured by thermistor at position 11	numeric	celsius		NA	value is missing
ThermistorTemp_C_12	water temperature measured by thermistor at position 12	numeric	celsius		NA	value is missing
ThermistorTemp_C_13	water temperature measured by thermistor at position 13 (located at 0.5 m above sediments)	numeric	celsius		NA	value is missing
RDO_mgL_6	Dissolved Oxygen (DO) concentration at position 6 as measured by the RDO Sensor	numeric	milligramsPerLiter		NA	value is missing
RDOsat_percent_6	Dissolved Oxygen (DO) percent saturation at position 6 as measured by the RDO Sensor	numeric	percent		NA	value is missing
RDOTemp_C_6	Water temperature  at position 6 as measured by the RDO Sensor	numeric	celsius		NA	value is missing
RDO_mgL_13	Dissolved Oxygen (DO) concentration at position 13 as measured by the RDO Sensor	numeric	milligramsPerLiter		NA	value is missing
RDOsat_percent_13	Dissolved Oxygen (DO) percent saturation at position 13 as measured by the RDO Sensor	numeric	percent		NA	value is missing
RDOTemp_C_13	Water temperature as measured by the DO sonde at position 13 as measured by the RDO Sensor	numeric	celsius		NA	value is missing
