
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_1m_20201102,,Exported,"Aqua4Plus 1.9.10"
# Records,  4029 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,7.063,-55.316,12.251,4.260,4.900,
,Maximum,16.375,15.073,14.010,16.380,15.870,
,Mean,11.160,-15.142,12.939,8.169,9.758,
,Variance,5.0034,1053.6542,0.2096,7.9769,7.5966,
,Std Deviation,2.2368,32.4600,0.4578,2.8243,2.7562,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,2-Nov-20 14:25:29,14.500,14.365,13.920,10.880,13.100
2,2-Nov-20 14:40:29,13.938,13.885,13.950,10.620,13.080
3,2-Nov-20 14:55:29,13.938,13.860,13.950,10.290,13.080
4,2-Nov-20 15:10:29,13.875,13.873,13.920,9.490,12.990
5,2-Nov-20 15:25:29,13.813,13.855,13.920,8.170,12.980
6,2-Nov-20 15:40:29,13.750,13.878,13.920,7.160,13.010
7,2-Nov-20 15:55:29,13.625,13.787,13.920,6.480,12.980
8,2-Nov-20 16:10:29,13.563,13.935,13.652,5.970,12.970
9,2-Nov-20 16:25:29,13.438,13.923,13.443,5.590,12.900
10,2-Nov-20 16:40:29,13.375,13.947,13.235,5.410,12.850
11,2-Nov-20 16:55:29,13.313,13.949,13.056,5.270,12.820
12,2-Nov-20 17:10:29,13.250,13.893,12.996,5.170,12.790
13,2-Nov-20 17:25:29,13.250,13.919,12.966,5.050,12.750
14,2-Nov-20 17:40:29,13.188,13.850,12.996,4.950,12.720
15,2-Nov-20 17:55:29,13.125,13.958,12.937,4.860,12.690
16,2-Nov-20 18:10:29,13.188,13.835,12.966,4.730,12.670
17,2-Nov-20 18:25:29,13.063,13.917,12.907,4.660,12.630
18,2-Nov-20 18:40:29,13.125,13.921,12.937,4.610,12.610
19,2-Nov-20 18:55:29,13.063,13.917,12.937,4.520,12.600
20,2-Nov-20 19:10:29,13.063,13.910,12.907,4.400,12.580
21,2-Nov-20 19:25:29,13.063,13.894,12.907,4.420,12.560
22,2-Nov-20 19:40:29,13.000,13.880,12.877,4.410,12.540
23,2-Nov-20 19:55:29,13.000,13.859,12.877,4.490,12.480
24,2-Nov-20 20:10:29,12.875,13.850,12.907,4.520,12.460
25,2-Nov-20 20:25:29,12.938,13.742,12.877,4.540,12.440
26,2-Nov-20 20:40:29,12.875,13.615,12.907,4.600,12.430
27,2-Nov-20 20:55:29,12.875,13.750,12.877,4.600,12.410
28,2-Nov-20 21:10:29,12.875,13.707,12.847,4.660,12.400
29,2-Nov-20 21:25:29,12.813,13.705,12.877,4.690,12.340
