"","Initials","Sample_ID","Day_Filtered","Filter_mass_pre_filtering_g","Filter_mass_post_filtering_g","Volume_filtered_mL","Leftover","Notes","Sed_mass_g","Sed_conc_mg_L","Depth","Rep","Filter","Type","Res","Date"
"1","NWH","sed 8m r1 f1 2 sep 19 fcr",NA,0.1151,0.1205,100,"388mL","",0.0054,54,"8","1","1","sed","fcr",2019-09-02
"2","NWH","sed 8m r1 f2 2 sep 19 fcr ",NA,0.113,0.1192,100,"","",0.0062,62,"8","1","2","sed","fcr",2019-09-02
"3","NWH","sed 8m r2 f1 2 sep 19 fcr ",NA,0.1148,0.1278,100,"365mL","",0.013,130,"8","2","1","sed","fcr",2019-09-02
"4","NWH","sed 8m r2 f2 2 sep 19 fcr ",NA,0.1152,0.1297,100,"","",0.0145,145,"8","2","2","sed","fcr",2019-09-02
"5","ASL","sed trap leftover 5m b 4 sep 19",NA,0.1148,0.1169,300,"","",0.0021,7.00000000000002,"5",NA,NA,"sed trap leftover"," b ",2019-09-04
"6","ASL","st leftover 5m r1 b 4 sep 19 ",NA,0.1147,0.1163,335,"","",0.0016,4.77611940298509,"5","1",NA,"st leftover"," b ",2019-09-04
"7","ASL","st leftover 10m r1 b 4 sep 19 ",NA,0.1143,0.1181,240,"","",0.0038,15.8333333333333,"10","1",NA,"st leftover"," b ",2019-09-04
"8","ASL","st leftover 10m r2 b 4 sep 19",NA,0.114,0.1177,250,"","",0.00369999999999999,14.8,"10","2",NA,"st leftover"," b ",2019-09-04
"9","JTM","sed 5m r1 f1 4 sep 19 bvr ",2019-09-05,0.1149,0.1183,100,"330mL","",0.0034,34,"5","1","1","sed","bvr",2019-09-04
"10","JTM","sed 5m r1 f2 4 sep 19 bvr ",2019-09-05,0.1145,0.1188,100,"330mL","",0.0043,43,"5","1","2","sed","bvr",2019-09-04
"11","JTM","sed 5m r2 f1 4 sep 19 bvr ",2019-09-05,0.1146,0.1187,100,"325mL","",0.00410000000000001,41.0000000000001,"5","2","1","sed","bvr",2019-09-04
"12","JTM","sed 5m r2 f2 4 sep 19 bvr ",2019-09-05,0.1147,0.1189,100,"325mL","",0.00420000000000001,42.0000000000001,"5","2","2","sed","bvr",2019-09-04
"13","JTM","sed 10m r1 f1 4 sep 19 bvr ",2019-09-05,0.114,0.1249,100,"325mL","",0.0109,109,"10","1","1","sed","bvr",2019-09-04
