"Reservoir","Site","Date","Rep","Start_time","End_time","Temp_C","CO2Slope_ppmS","CO2_R2","CO2Flux_umolCm2s","CH4Slope_ppmS","CH4_R2","CH4Flux_umolCm2s","Flag_CO2Flux_umolCm2s","Flag_CH4Flux_umolCm2s","Flag_Start_time","Flag_End_time"
"FCR",50,2023-07-31,1,12:00:00,NA,35.45,-0.044,0.99,-0.25,0.006,1,0.034,0,0,1,1
"FCR",50,2023-07-31,2,12:00:00,NA,36.95,-0.05,0.99,-0.283,0.007,0.99,0.04,0,0,1,1
"FCR",50,2023-08-07,1,12:00:00,NA,26.22,-0.034,0.96,-0.199,0.002,0.96,0.012,0,0,1,1
"FCR",50,2023-08-07,2,12:00:00,NA,27.74,-0.037,0.97,-0.215,0.003,0.97,0.017,0,0,1,1
"BVR",50,2023-08-07,1,12:00:00,NA,31.29,-0.009,0.62,-0.052,0,0.92,0,1,0,1,1
"BVR",50,2023-08-07,2,12:00:00,NA,32.76,-0.015,0.79,-0.086,0.001,0.97,0.006,1,0,1,1
"BVR",50,2023-08-14,1,12:00:00,NA,30.04,-0.021,0.95,-0.121,0,0.99,0,0,0,1,1
"BVR",50,2023-08-14,2,12:00:00,NA,31.78,-0.022,0.97,-0.126,0,0.99,0,0,0,1,1
"BVR",50,2023-08-22,1,12:00:00,NA,29.84,-0.04,0.99,-0.231,0.002,1,0.012,0,0,1,1
"BVR",50,2023-08-22,2,12:00:00,NA,31.52,-0.041,0.99,-0.236,0.002,1,0.012,0,0,1,1
"FCR",50,2023-08-22,1,12:00:00,NA,35.73,-0.037,0.99,-0.21,0.001,0.95,0.006,0,0,1,1
"FCR",50,2023-08-22,2,12:00:00,NA,36.39,-0.038,0.98,-0.215,0.001,0.95,0.006,0,0,1,1
"FCR",50,2023-08-22,3,12:00:00,NA,36.7,-0.035,0.98,-0.198,0.001,0.96,0.006,0,0,1,1
"BVR",50,2023-09-05,1,12:00:00,NA,32.3,-0.014,0.91,-0.08,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-09-05,2,12:00:00,NA,34.07,-0.013,0.91,-0.074,0.001,0.98,0.006,0,0,1,1
"FCR",50,2023-09-05,1,12:00:00,NA,39.06,-0.021,0.91,-0.118,0.001,0.94,0.006,0,0,1,1
"FCR",50,2023-09-05,2,12:00:00,NA,39.57,-0.021,0.92,-0.118,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-09-12,1,12:00:00,NA,28.8,0.018,0.89,0.104,0.001,0.95,0.006,1,0,1,1
"BVR",50,2023-09-12,2,12:00:00,NA,30,0.01,0.88,0.058,0.001,0.99,0.006,1,0,1,1
"BVR",50,2023-09-12,3,12:00:00,NA,31.11,0.016,0.89,0.092,0.001,0.97,0.006,1,0,1,1
"FCR",50,2023-09-12,1,12:00:00,NA,35.55,0.014,0.88,0.079,0.005,0.96,0.028,1,0,1,1
"FCR",50,2023-09-12,2,12:00:00,NA,36.5,0.006,0.62,0.034,0.006,0.98,0.034,1,0,1,1
"FCR",50,2023-09-12,3,12:00:00,NA,36.64,-0.001,0.05,-0.006,0.003,0.99,0.017,1,0,1,1
"FCR",10,2023-09-15,1,12:00:00,NA,26.66,0.162,0.98,0.947,0.015,0.66,0.088,0,1,1,1
"BVR",50,2023-09-18,1,12:00:00,NA,23.99,0.244,0.99,1.439,0.009,0.99,0.053,0,0,1,1
"BVR",50,2023-09-18,2,12:00:00,NA,25.08,0.248,1,1.457,0.009,1,0.053,0,0,1,1
"FCR",50,2023-09-18,1,12:00:00,NA,26.37,0.17,0.96,0.995,0.003,0.97,0.018,0,0,1,1
"FCR",50,2023-09-18,2,12:00:00,NA,26.97,0.16,0.96,0.934,0.003,0.97,0.018,0,0,1,1
"FCR",50,2023-09-25,1,12:00:00,NA,24.3,0.073,0.99,0.43,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-09-25,2,12:00:00,NA,25.89,0.06,0.98,0.352,0.002,0.98,0.012,0,0,1,1
"BVR",50,2023-09-26,1,12:00:00,NA,21.14,0.21,0.99,1.251,0.001,0.99,0.006,0,0,1,1
"BVR",50,2023-09-26,2,12:00:00,NA,22.84,0.121,0.98,0.716,0,0.98,0,0,0,1,1
"BVR",50,2023-10-03,1,12:00:00,NA,27.56,0,0,0,0,0.85,0,1,1,1,1
"BVR",50,2023-10-03,2,12:00:00,NA,28.41,0,0,0,0,0.98,0,1,0,1,1
"FCR",50,2023-10-03,1,12:00:00,NA,31.46,0.194,0.93,1.116,0.003,0.95,0.017,0,0,1,1
"FCR",50,2023-10-03,2,12:00:00,NA,32.14,0.082,0.89,0.471,0.001,0.92,0.006,1,0,1,1
"FCR",50,2023-10-09,1,12:00:00,NA,20.12,0.619,0.99,3.699,0.003,0.99,0.018,0,0,1,1
"FCR",50,2023-10-09,2,12:00:00,NA,21.39,0.574,0.96,3.415,0.003,0.94,0.018,0,0,1,1
"FCR",50,2023-10-17,1,12:00:00,NA,20.43,0.314,0.92,1.874,0,0.91,0,0,0,1,1
"FCR",50,2023-10-17,2,12:00:00,NA,20.97,0.416,0.94,2.479,0.001,0.94,0.006,0,0,1,1
"BVR",50,2023-10-24,1,12:00:00,NA,19.9,0.165,0.98,0.987,0.006,0.98,0.036,0,0,1,1
"BVR",50,2023-10-24,2,12:00:00,NA,21.77,0.213,0.93,1.266,0.007,0.94,0.042,0,0,1,1
"FCR",50,2023-10-24,1,12:00:00,NA,25.97,0.098,0.96,0.574,0,0.94,0,0,0,1,1
"FCR",50,2023-10-24,2,12:00:00,NA,26.86,0.314,0.98,1.834,0,0.98,0,0,0,1,1
"FCR",50,2023-10-31,1,12:00:00,NA,14.7,0.005,0.64,0.03,0.001,0.98,0.006,1,0,1,1
"FCR",50,2023-10-31,2,12:00:00,NA,14.99,0.004,0.53,0.024,0,0.89,0,1,1,1,1
"BVR",50,2023-11-06,1,12:00:00,NA,18.69,0.118,0.86,0.709,0.001,0.89,0.006,1,1,1,1
"BVR",50,2023-11-06,2,12:00:00,NA,21.17,0.106,0.87,0.631,0,0.88,0,1,1,1,1
"FCR",50,2023-11-06,1,12:00:00,NA,23.05,0.174,0.98,1.029,0,0.94,0,0,0,1,1
"FCR",50,2023-11-06,2,12:00:00,NA,23.99,0.267,0.96,1.575,0.001,0.94,0.006,0,0,1,1
"FCR",50,2023-11-06,3,12:00:00,NA,24.4,0.369,0.98,2.173,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-11-14,1,12:00:00,NA,19.28,0.055,0.97,0.33,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-11-14,2,12:00:00,NA,20.69,0.081,0.99,0.483,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-11-14,1,12:00:00,NA,20.14,0.155,0.98,0.926,0,0.98,0,0,0,1,1
"FCR",50,2023-11-14,2,12:00:00,NA,20.62,0.153,0.94,0.913,0,0.95,0,0,0,1,1
"BVR",50,2023-12-04,1,12:00:00,NA,15.84,0.006,0.71,0.036,0,0.97,0,1,0,1,1
"BVR",50,2023-12-04,2,12:00:00,NA,16.71,0.004,0.46,0.024,0,0.88,0,1,1,1,1
"FCR",50,2023-12-04,1,12:00:00,NA,16.84,0.151,0.96,0.913,0.001,0.97,0.006,0,0,1,1
"FCR",50,2023-12-04,2,12:00:00,NA,18.08,0.073,0.94,0.439,0,0.95,0,0,0,1,1
"FCR",10,2018-05-07,1,10:15:42,10:19:41,25.61,1.02,0.97,5.983,0.033,0.97,0.194,0,0,0,0
"FCR",10,2018-05-07,2,10:22:30,10:26:29,26.3,0.892,0.98,5.22,0.027,0.98,0.158,0,0,0,0
"FCR",20,2018-05-07,1,10:52:52,10:56:51,28.97,0.786,0.99,4.559,0.027,0.99,0.157,0,0,0,0
"FCR",30,2018-05-07,1,11:04:09,11:08:07,29.84,1.014,0.95,5.865,0.034,0.95,0.197,0,0,0,0
"FCR",30,2018-05-07,2,11:09:57,11:13:56,30.04,1.528,0.99,8.832,0.05,0.99,0.289,0,0,0,0
"FCR",45,2018-05-07,1,11:30:31,11:34:30,29.91,1.044,0.95,6.037,0.03,0.95,0.173,0,0,0,0
"FCR",45,2018-05-07,2,11:36:40,11:40:38,30.28,0.855,0.98,4.938,0.025,0.98,0.144,0,0,0,0
"FCR",50,2018-05-07,1,11:57:24,12:01:23,30.76,0.935,0.99,5.392,0.029,0.99,0.167,0,0,0,0
"FCR",50,2018-05-07,2,12:02:42,12:06:41,30.66,0.786,0.99,4.534,0.025,0.99,0.144,0,0,0,0
"FCR",10,2018-05-14,1,11:41:12,11:45:11,36.83,0.033,0.96,0.187,0.004,0.94,0.023,0,0,0,0
"FCR",10,2018-05-14,2,11:58:47,12:02:46,38.2,0.035,0.94,0.197,0.003,0.93,0.017,0,0,0,0
"FCR",20,2018-05-14,1,12:11:23,12:15:22,39.25,0.038,0.95,0.213,0.003,0.95,0.017,0,0,0,0
"FCR",20,2018-05-14,2,12:23:40,12:27:39,39.96,0.043,0.97,0.241,0.004,0.95,0.022,0,0,0,0
"FCR",30,2018-05-14,1,12:40:26,12:44:24,39.16,0.07,0.97,0.393,0.005,0.98,0.028,0,0,0,0
"FCR",30,2018-05-14,2,12:52:02,12:56:01,38.38,0.043,0.96,0.242,0.003,0.95,0.017,0,0,0,0
"FCR",45,2018-05-14,1,13:00:20,13:04:19,38.81,0.048,0.97,0.27,0.003,0.97,0.017,0,0,0,0
"FCR",45,2018-05-14,2,13:15:06,13:19:05,39.95,0.083,0.99,0.465,0.004,0.99,0.022,0,0,0,0
"FCR",50,2018-05-14,1,13:24:04,13:28:03,40.31,0.035,0.97,0.196,0.002,0.97,0.011,0,0,0,0
"FCR",50,2018-05-14,2,13:30:32,13:34:31,40.57,0.048,0.98,0.268,0.002,0.98,0.011,0,0,0,0
"FCR",10,2018-05-21,1,12:17:22,12:21:20,35.72,0.097,0.94,0.55,0.005,0.79,0.028,0,1,0,0
"FCR",10,2018-05-21,2,12:26:59,12:30:58,35.97,0.136,0.97,0.771,0.003,0.98,0.017,0,0,0,0
"FCR",20,2018-05-21,1,12:48:13,12:52:12,36.8,0.13,0.99,0.735,0.003,0.98,0.017,0,0,0,0
"FCR",20,2018-05-21,2,13:01:09,13:05:08,37.25,0.084,0.98,0.474,0.002,0.98,0.011,0,0,0,0
"FCR",30,2018-05-21,1,13:25:43,13:29:42,37.98,0.069,0.82,0.389,0.002,0.84,0.011,1,1,0,0
"FCR",30,2018-05-21,2,13:34:10,13:38:09,37.86,0.101,0.97,0.569,0.002,0.97,0.011,0,0,0,0
"FCR",45,2018-05-21,1,13:54:15,13:58:14,37.92,0.172,0.99,0.969,0.004,0.99,0.023,0,0,0,0
"FCR",45,2018-05-21,2,14:04:12,14:08:11,38.23,0.134,1,0.754,0.003,1,0.017,0,0,0,0
"FCR",50,2018-05-21,1,14:23:07,14:27:06,38.45,0.18,0.96,1.012,0.005,0.96,0.028,0,0,0,0
"FCR",50,2018-05-21,2,14:30:45,14:34:44,38.4,0.176,0.98,0.99,0.004,0.98,0.023,0,0,0,0
"BVR",50,2018-05-24,1,12:00:26,12:04:25,33.49,0.006,0.93,0.034,0.001,0.99,0.006,0,0,0,0
"BVR",50,2018-05-24,2,12:07:04,12:11:03,33.99,0.004,0.81,0.023,0.001,0.93,0.006,1,0,0,0
"FCR",10,2018-05-28,1,11:20:03,11:24:02,31.85,0.065,0.96,0.373,0.003,0.92,0.017,0,0,0,0
"FCR",10,2018-05-28,2,11:31:10,11:35:09,33.2,0.062,0.99,0.355,0.003,1,0.017,0,0,0,0
"FCR",20,2018-05-28,1,11:45:36,11:49:35,33.46,0.071,0.95,0.406,0.003,0.95,0.017,0,0,0,0
"FCR",20,2018-05-28,2,12:00:52,12:04:51,33.51,0.032,0.98,0.183,0.002,0.99,0.011,0,0,0,0
"FCR",30,2018-05-28,1,12:11:39,12:15:38,33.75,0.024,0.97,0.137,0.001,0.98,0.006,0,0,0,0
"FCR",30,2018-05-28,2,12:18:07,12:22:06,34.16,0.033,0.99,0.188,0.002,0.99,0.011,0,0,0,0
"FCR",45,2018-05-28,1,12:34:12,12:38:11,34.48,0.017,0.96,0.097,0.001,0.97,0.006,0,0,0,0
"FCR",45,2018-05-28,2,12:42:40,12:46:39,34.65,0.031,0.9,0.176,0.003,0.92,0.017,0,0,0,0
"FCR",50,2018-05-28,1,13:01:15,13:05:14,34.02,0.027,0.99,0.154,0.002,0.99,0.011,0,0,0,0
"FCR",50,2018-05-28,2,13:08:53,13:12:52,33.77,0.029,0.86,0.166,0.002,0.88,0.011,1,1,0,0
"FCR",10,2018-07-02,1,14:18:52,14:22:51,38.07,-0.005,0.57,-0.028,0.032,0.18,0.18,1,1,0,0
"FCR",10,2018-07-02,2,14:27:35,14:31:34,38.65,-0.008,0.74,-0.045,0.009,0.62,0.051,1,1,0,0
"FCR",20,2018-07-02,1,14:35:43,14:39:42,38.94,-0.004,0.25,-0.022,0.06,0.44,0.337,1,1,0,0
"FCR",30,2018-07-05,1,12:29:54,12:34:53,34.11,-0.012,0.71,-0.068,0.004,0.96,0.023,1,0,0,0
"FCR",30,2018-07-05,2,12:41:01,12:46:00,36.83,-0.022,0.95,-0.124,0.005,0.95,0.028,0,0,0,0
"FCR",45,2018-07-05,1,12:47:39,12:52:38,37.92,-0.014,0.83,-0.079,0.004,0.98,0.023,1,0,0,0
"FCR",45,2018-07-05,2,12:57:47,13:02:45,39.41,-0.013,0.69,-0.073,0.002,0.98,0.011,1,0,0,0
"FCR",50,2018-07-05,1,13:04:25,13:09:24,39.7,-0.02,0.49,-0.112,0.004,0.94,0.022,1,0,0,0
"FCR",50,2018-07-05,2,13:14:02,13:19:01,40.42,-0.026,0.6,-0.145,0.004,0.98,0.022,1,0,0,0
"FCR",10,2018-07-16,1,11:00:44,11:04:42,33.59,-0.039,0.99,-0.223,0.005,0.98,0.029,0,0,0,0
"FCR",10,2018-07-16,2,11:10:41,11:14:40,34.63,-0.033,0.98,-0.188,0.004,0.89,0.023,0,1,0,0
"FCR",20,2018-07-16,1,11:21:58,11:25:56,35.41,-0.038,0.98,-0.216,0.004,0.98,0.023,0,0,0,0
"FCR",20,2018-07-16,2,11:29:45,11:33:44,35.92,-0.044,0.98,-0.249,0.004,0.97,0.023,0,0,0,0
"FCR",30,2018-07-16,1,11:42:32,11:46:31,37.55,-0.019,0.93,-0.107,0.001,0.91,0.006,0,0,0,0
"FCR",30,2018-07-16,2,11:49:00,11:52:59,38.55,-0.028,0.98,-0.157,0.002,0.97,0.011,0,0,0,0
"FCR",45,2018-07-16,1,11:58:47,12:02:46,39.94,-0.038,0.99,-0.213,0.002,0.98,0.011,0,0,0,0
"FCR",45,2018-07-16,2,12:07:35,12:11:34,40.6,-0.047,0.98,-0.263,0.003,0.99,0.017,0,0,0,0
"FCR",50,2018-07-16,1,12:16:22,12:20:21,41.15,-0.034,0.98,-0.19,0.002,0.98,0.011,0,0,0,0
"FCR",50,2018-07-16,2,12:23:00,12:26:59,41.55,-0.032,0.89,-0.178,0.001,0.97,0.006,1,0,0,0
"FCR",10,2018-07-23,1,10:19:25,10:23:24,28.09,-0.044,0.85,-0.256,0.009,0.78,0.052,1,1,0,0
"FCR",10,2018-07-23,2,10:30:12,10:34:11,29.21,-0.029,0.99,-0.168,0.01,0.78,0.058,0,1,0,0
"FCR",20,2018-07-23,1,10:42:09,10:46:08,29.92,-0.03,0.99,-0.173,0.002,0.98,0.012,0,0,0,0
"FCR",20,2018-07-23,2,10:50:17,10:54:16,30.28,-0.016,0.97,-0.092,0.001,0.92,0.006,0,0,0,0
"FCR",30,2018-07-23,1,11:01:04,11:05:03,30.91,-0.022,0.9,-0.127,0.001,0.9,0.006,0,0,0,0
"FCR",30,2018-07-23,2,11:07:12,11:11:11,31.29,-0.044,0.99,-0.253,0.002,0.99,0.012,0,0,0,0
"FCR",45,2018-07-23,1,11:16:20,11:20:19,31.66,-0.037,0.93,-0.213,0.001,0.95,0.006,0,0,0,0
"FCR",45,2018-07-23,2,11:22:58,11:26:57,31.9,-0.048,0.99,-0.276,0.002,0.99,0.011,0,0,0,0
"FCR",50,2018-07-23,1,11:32:15,11:36:14,32.19,-0.046,0.99,-0.264,0.002,0.97,0.011,0,0,0,0
"FCR",50,2018-07-23,2,11:38:04,11:42:03,32.4,-0.023,0.99,-0.132,0.001,0.99,0.006,0,0,0,0
"FCR",10,2018-07-30,1,09:15:47,09:19:46,26.74,-0.048,0.94,-0.28,0.032,0.73,0.187,0,1,0,0
"FCR",10,2018-07-30,2,09:27:34,09:31:33,28.02,-0.053,0.99,-0.308,0.032,0.95,0.186,0,0,0,0
"FCR",20,2018-07-30,1,09:34:52,09:38:51,28.46,-0.057,0.99,-0.331,0.023,0.82,0.134,0,1,0,0
"FCR",20,2018-07-30,2,09:45:49,09:49:48,28.96,-0.048,1,-0.278,0.001,0.99,0.006,0,0,0,0
"FCR",30,2018-07-30,1,09:56:46,10:00:45,29.38,-0.045,0.99,-0.261,0.001,0.98,0.006,0,0,0,0
"FCR",30,2018-07-30,2,10:05:53,10:09:52,29.75,-0.031,0.97,-0.179,0,0.97,0,0,0,0,0
"FCR",45,2018-07-30,1,10:14:51,10:18:50,30.14,-0.041,0.99,-0.237,0.001,0.95,0.006,0,0,0,0
"FCR",45,2018-07-30,2,10:22:49,10:26:48,30.25,-0.038,0.98,-0.219,0.001,0.95,0.006,0,0,0,0
"FCR",50,2018-07-30,1,10:33:56,10:37:54,30.23,-0.056,1,-0.323,0.001,0.99,0.006,0,0,0,0
"FCR",50,2018-07-30,2,10:44:52,10:48:51,30.19,-0.035,0.99,-0.202,0,0.97,0,0,0,0,0
"FCR",10,2018-09-03,1,10:41:24,10:45:23,30.14,-0.005,0.11,-0.029,0.003,0.91,0.017,1,0,0,0
"FCR",10,2018-09-03,2,10:55:30,10:59:29,33.12,-0.009,0.85,-0.051,0.005,0.86,0.029,1,1,0,0
"FCR",20,2018-09-03,1,11:06:27,11:10:26,34.66,-0.009,0.35,-0.051,0.006,0.75,0.034,1,1,0,0
"FCR",20,2018-09-03,2,11:28:01,11:32:00,37.73,-0.015,0.91,-0.085,0.002,0.94,0.011,0,0,0,0
"FCR",30,2018-09-03,1,11:52:25,11:56:24,39.21,-0.022,0.97,-0.123,0.003,0.97,0.017,0,0,0,0
"FCR",30,2018-09-03,2,12:06:51,12:10:50,40.07,-0.035,0.98,-0.196,0.003,0.98,0.017,0,0,0,0
"FCR",45,2018-09-03,1,12:26:25,12:30:24,40.68,-0.018,0.97,-0.101,0.004,0.98,0.022,0,0,0,0
"FCR",45,2018-09-03,2,12:44:30,12:48:29,41.48,-0.025,0.92,-0.139,0.003,0.89,0.017,0,1,0,0
"FCR",50,2018-09-03,1,12:51:28,12:55:27,41.76,-0.013,0.09,-0.072,0.003,0.93,0.017,1,0,0,0
"FCR",50,2018-09-03,2,12:59:26,13:03:25,42,-0.018,0.97,-0.1,0.002,0.97,0.011,0,0,0,0
"FCR",10,2018-09-17,1,10:35:49,10:39:48,26.49,0.218,1,1.275,0.002,1,0.012,0,0,0,0
"FCR",10,2018-09-17,2,10:53:14,10:57:13,28.96,0.117,0.98,0.679,0.001,0.97,0.006,0,0,0,0
"FCR",20,2018-09-17,1,11:02:52,11:06:50,29.77,0.251,0.99,1.452,0.002,0.99,0.012,0,0,0,0
"FCR",20,2018-09-17,2,11:20:47,11:24:45,30.8,0.292,0.99,1.684,0.003,0.99,0.017,0,0,0,0
"FCR",30,2018-09-17,1,11:45:30,11:49:29,32.1,0.214,1,1.229,0.002,1,0.011,0,0,0,0
"FCR",30,2018-09-17,2,11:59:26,12:03:25,32.99,0.246,1,1.408,0.002,1,0.011,0,0,0,0
"FCR",45,2018-09-17,1,12:19:00,12:22:59,34.73,0.192,0.99,1.093,0.002,0.99,0.011,0,0,0,0
"FCR",45,2018-09-17,2,12:36:15,12:40:14,35.57,0.185,0.99,1.05,0.002,0.99,0.011,0,0,0,0
"FCR",50,2018-09-17,1,12:48:42,12:52:41,36.49,0.341,0.99,1.93,0.003,0.99,0.017,0,0,0,0
"FCR",50,2018-09-17,2,12:55:20,12:59:19,36.86,0.262,0.98,1.481,0.002,0.98,0.011,0,0,0,0
"BVR",50,2018-09-21,1,13:18:44,13:22:43,28.94,-0.001,0.34,-0.006,0.001,0.95,0.006,1,0,0,0
"BVR",50,2018-09-21,2,13:26:51,13:30:50,31.14,0,0.22,0,0.001,0.95,0.006,1,0,0,0
"FCR",10,2018-10-01,1,10:08:51,10:12:50,27.19,0.031,0.94,0.181,0,0.85,0,0,1,0,0
"FCR",10,2018-10-01,2,10:28:31,10:32:30,29.55,0.045,0.92,0.261,0,0.94,0,0,0,0,0
"FCR",20,2018-10-01,1,10:35:39,10:39:38,30.21,0.177,0.99,1.023,0,0.99,0,0,0,0,0
"FCR",20,2018-10-01,2,10:48:36,10:52:35,30.49,0.133,0.99,0.768,0,0.99,0,0,0,0,0
"FCR",30,2018-10-01,1,10:58:33,11:02:32,30.67,0.173,1,0.998,0.001,1,0.006,0,0,0,0
"FCR",30,2018-10-01,2,11:12:59,11:16:58,30.68,0.225,0.99,1.298,0.001,1,0.006,0,0,0,0
"FCR",45,2018-10-01,1,11:20:27,11:24:26,30.83,0.137,0.99,0.79,0,0.99,0,0,0,0,0
"FCR",45,2018-10-01,2,11:36:42,11:40:41,31.4,0.144,0.99,0.829,0,0.99,0,0,0,0,0
"FCR",50,2018-10-01,1,11:44:30,11:48:29,31.65,0.108,0.97,0.621,0,0.97,0,0,0,0,0
"FCR",50,2018-10-01,2,11:51:58,11:55:57,31.75,0.084,0.87,0.483,0,0.87,0,1,1,0,0
"BVR",50,2018-10-05,1,13:46:04,13:50:03,26.97,-0.022,0.96,-0.128,0.001,0.97,0.006,0,0,0,0
"BVR",50,2018-10-05,2,13:55:11,13:59:10,29.24,-0.013,0.97,-0.075,0,0.97,0,0,0,0,0
