attributeName	code	definition
Flag_DateTime	0	Time recorded
Flag_DateTime	1	Time not recorded and set to 12:00
Flag_DC_mgL	0	No flag
Flag_DC_mgL	1	Sample not taken
Flag_DC_mgL	7	Sample run multiple times and values averaged
Flag_DC_mgL	9	Suspect sample
Flag_DC_mgL	79	Sample run multiple times and values averaged and suspect sample
Flag_DIC_mgL	0	No flag
Flag_DIC_mgL	1	Sample not taken
Flag_DIC_mgL	3	Sample below detection
Flag_DIC_mgL	7	Sample run multiple times and values averaged
Flag_DIC_mgL	9	Suspect sample
Flag_DIC_mgL	79	Sample run multiple times and values averaged and suspect sample
Flag_DN_mgL	0	No flag
Flag_DN_mgL	1	Sample not taken
Flag_DN_mgL	3	Sample below detection
Flag_DN_mgL	7	Sample run multiple times and values averaged
Flag_DN_mgL	8	Sample run using NPOC method due to high IC values
Flag_DOC_mgL	0	No flag
Flag_DOC_mgL	1	Sample not taken
Flag_DOC_mgL	3	Sample below detection
Flag_DOC_mgL	6	Non-standard method
Flag_DOC_mgL	7	Sample run multiple times and values averaged
Flag_DOC_mgL	8	Sample run using NPOC method due to high IC values
Flag_DOC_mgL	9	Suspect sample
Flag_DOC_mgL	43	Negative value set to zero and sample below detection
Flag_DOC_mgL	74	Sample run multiple times and values averaged and negative value set to zero
Flag_NH4_ugL	0	No flag
Flag_NH4_ugL	1	Sample not taken
Flag_NH4_ugL	3	Sample below detection
Flag_NH4_ugL	4	Negative value set to zero
Flag_NH4_ugL	6	Non-standard method
Flag_NH4_ugL	7	Sample run multiple times and values averaged
Flag_NH4_ugL	43	Negative value set to zero and sample below detection
Flag_NH4_ugL	73	Sample run multiple times and values averaged and sample below detection
Flag_NH4_ugL	74	Sample run multiple times and values averaged and negative value set to zero
Flag_NO3NO2_ugL	0	No flag
Flag_NO3NO2_ugL	1	Sample not taken
Flag_NO3NO2_ugL	3	Sample below detection
Flag_NO3NO2_ugL	4	Negative value set to zero
Flag_NO3NO2_ugL	6	Non-standard method
Flag_NO3NO2_ugL	7	Sample run multiple times and values averaged
Flag_NO3NO2_ugL	43	Negative value set to zero and sample below detection
Flag_NO3NO2_ugL	73	Sample run multiple times and values averaged and sample below detection
Flag_SRP_ugL	0	No flag
Flag_SRP_ugL	1	Sample not taken
Flag_SRP_ugL	3	Sample below detection
Flag_SRP_ugL	4	Negative value set to zero
Flag_SRP_ugL	6	Non-standard method
Flag_SRP_ugL	7	Sample run multiple times and values averaged
Flag_SRP_ugL	43	Negative value set to zero and sample below detection
Flag_SRP_ugL	73	Sample run multiple times and values averaged and sample below detection
Flag_SRP_ugL	74	Sample run multiple times and values averaged and negative value set to zero
Flag_TN_ugL	0	No flag
Flag_TN_ugL	1	Sample not taken
Flag_TN_ugL	3	Sample below detection
Flag_TN_ugL	4	Negative value set to zero
Flag_TN_ugL	6	Non-standard method
Flag_TN_ugL	7	Sample run multiple times and values averaged
Flag_TN_ugL	9	Suspect sample
Flag_TN_ugL	43	Negative value set to zero and sample below detection
Flag_TN_ugL	67	Non-standard method and sample run multiple times and values averages
Flag_TN_ugL	73	Sample run multiple times and values averaged and sample below detection
Flag_TP_ugL	0	No flag
Flag_TP_ugL	1	Sample not taken
Flag_TP_ugL	3	Sample below detection
Flag_TP_ugL	4	Negative value set to zero
Flag_TP_ugL	6	Non-standard method
Flag_TP_ugL	7	Sample run multiple times and values averaged
Flag_TP_ugL	9	Suspect sample
Flag_TP_ugL	43	Negative value set to zero and sample below detection
Flag_TP_ugL	67	Non-standard method and sample run multiple times and values averages
Flag_TP_ugL	73	Sample run multiple times and values averaged and sample below detection
Reservoir	BVR	Beaverdam Reservoir
Reservoir	CCR	Carvins Cove Reservoir
Reservoir	FCR	Falling Creek Reservoir
Reservoir	GWR	Gatewood Reservoir
Reservoir	SHR	Spring Hollow Reservoir
