"Reservoir","Site","Site_description","Latitude","Longitude"
"BVR",40,"Pelagic upstream site in Beaverdam Reservoir at the location of the upstream pipe outflow leading to Falling Creek Reservoir",37.314783,-79.820864
"BVR",50,"Pelagic deep hole site nearest to dam; at BVR platform closest to dam",37.31288,-79.8159
"CCR",50,"Pelagic deep hole site of Carvins Cove Reservoir near dam (also site 6 for Ironman sampling); the closest access point to the dam via boat and 21 m at full pond",37.3706,-79.9582
"CCR",201,"Inflow stream site to Carvins Cove Reservoir at Carvins Creek Stream accessed via fireroad near red barns",37.3958,-79.9937
"CCR",301,"Inflow stream site to Carvins Cove Reservoir at Sawmill Branch inflow site upstream of reservoir where fire road bridge crosses the stream",37.4169,-79.9771
"CCR",400,"Inflow tunnel site to Carvins Cove Reservoir at emergence of Tinker Creek Tunnel",37.399,-79.9485
"CCR",501,"Inflow tunnel site to Carvins Cove Reservoir at emergence of Catawaba Creek Tunnel",37.4082,-79.9897
"FCR",50,"Pelagic deep hole site nearest to Falling Creek Reservoir dam; at end of FCR catwalk",37.30325,-79.8373
"FCR",100,"Inflow stream site on Tunnel Branch primary inflow to Falling Creek Reservoir; long-term monitoring site where gauged weir is located",37.30858,-79.83494
"FCR",200,"Inflow stream site on Falling Creek secondary inflow to Falling Creek Reservoir; also referred to as the wetland stream",37.30943,-79.83619
