"Reservoir","Site","Date","Flow_cms","Method","Flag_Flow"
"FCR",200,2021-06-21,6.99e-05,"F","0"
"CCR",301,2021-07-14,0.00266,"F","0"
"CCR",400,2021-07-14,0.002680434,"B","0"
"CCR",100,2021-08-19,0.00748,"F","0"
"CCR",400,2021-08-19,0.29843,"F","0"
"CCR",301,2021-08-19,0.01591,"F","0"
"CCR",500,2021-08-19,0.04404,"F","0"
"CCR",100,2021-09-23,0.03758,"F","0"
"CCR",400,2021-09-23,0.45026,"F","0"
"CCR",301,2021-09-23,0.897434586,"V","0"
"CCR",500,2021-09-23,3.260213591,"V","0"
"CCR",100,2021-11-19,0.00281,"F","0"
"CCR",500,2021-11-19,0.0008631,"F","0"
"CCR",301,2021-11-19,0.01228,"F","0"
"CCR",400,2021-11-19,0.00355,"F","0"
"FCR",200,2021-11-22,0.00223,"F","0"
"CCR",101,2022-02-28,0.04825,"F","0"
"CCR",400,2022-02-28,0.02156,"F","0"
"CCR",301,2022-02-28,0.11656,"F","0"
"CCR",500,2022-02-28,0.01144,"F","0"
"FCR",200,2022-03-29,0.01224,"F","0"
"FCR",200,2022-04-19,0.01603,"F","0"
"FCR",200,2022-05-02,0.00746,"F","0"
"FCR",200,2022-05-09,0.01066,"F","0"
"FCR",200,2022-05-17,0.01301,"F","0"
"FCR",200,2022-05-23,0.00726,"F","0"
"FCR",200,2022-05-31,0.0351,"F","0"
"CCR",101,2022-06-09,0.00492,"F","0"
"CCR",400,2022-06-09,0.00578,"F","0"
"CCR",301,2022-06-09,0.02266,"F","0"
"CCR",500,2022-06-09,0.00162,"F","0"
"CCR",201,2022-06-09,0.00954,"F","0"
"FCR",200,2022-06-13,0.00718,"F","0"
"FCR",200,2022-06-20,0.00884,"F","0"
"FCR",200,2022-06-27,0.004867,"F","0"
"CCR",301,2022-06-30,0.003775,"F","0"
"CCR",201,2022-06-30,0.00048,"F","0"
"CCR",301,2022-07-14,0.00401,"F","0"
"CCR",201,2022-07-14,0.00289,"F","0"
"FCR",200,2022-07-18,0.00445,"F","0"
"CCR",301,2022-07-28,0.004665,"F","0"
"FCR",200,2022-08-18,0.00534,"F","0"
"CCR",301,2022-08-19,0.00385,"F","0"
"CCR",201,2022-08-19,0.02574,"F","0"
"FCR",200,2022-09-26,0.00559,"F","0"
"CCR",201,2022-09-29,0.00168,"F","0"
"CCR",301,2022-09-29,0.00145,"F","0"
"CCR",201,2022-10-14,0.00298,"F","0"
"CCR",301,2022-10-14,0.00235,"F","0"
"CCR",400,2022-10-14,0.184970406,"V","0"
"FCR",200,2022-10-17,0.00622,"F","0"
"CCR",201,2022-11-17,0.25484,"F","0"
"CCR",500,2022-11-17,0.49226,"F","0"
"CCR",301,2022-11-17,0.2298,"F","0"
"CCR",400,2022-11-17,0.941468254,"V","0"
"FCR",200,2022-11-28,0.01027,"F","0"
"FCR",200,2022-12-12,0.01889,"F","0"
