,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR),,
05/19/2025 - 15,0.2,454.3,119.7,380.1,"2,135.4",32.8,0.6,-0.6,246.9,232.1,10.3,0.2,0.5,404.6,32.0,0.2,0.2,0.3,-1.2,0.0,-0.4,1.8,0.2,0.0,0.0,0.1,5.8,1.9,0.0,,
05/26/2025 - 15,0.1,292.2,54.7,74.4,902.5,16.7,0.3,-0.7,110.3,769.7,1.7,0.0,0.2,129.6,9.3,0.0,0.1,0.1,-2.1,-0.1,-0.4,1.0,0.3,0.0,0.0,0.2,1.8,1.7,0.2,,
06/02/2025 - 15,0.1,281.0,50.4,57.7,885.1,15.9,0.3,-0.8,101.0,"1,013.8",1.5,0.0,0.3,185.2,8.1,0.0,0.2,0.5,-2.2,-0.1,-0.4,1.1,0.2,0.0,0.0,0.1,1.5,1.7,0.1,,
06/09/2025 - 15,0.1,319.3,68.0,54.5,944.9,18.0,0.4,-0.8,118.9,"1,138.5",1.2,0.0,0.2,109.5,6.2,0.0,0.1,0.2,-2.3,-0.1,-0.4,1.4,0.2,0.0,0.0,0.1,1.7,1.7,0.0,,
06/09/2025 - 17,0.1,346.5,88.2,128.2,950.9,21.1,0.4,-0.8,96.3,907.3,2.7,0.1,0.3,410.9,6.5,0.1,0.1,0.0,-2.4,-0.1,-0.4,1.5,0.1,0.0,0.0,0.1,2.2,1.8,0.0,,
06/16/2025 - 15,0.1,286.9,51.1,72.4,932.6,16.0,0.4,-0.8,110.3,991.6,1.2,0.0,0.3,222.8,11.2,0.0,0.2,0.3,-1.8,-0.1,-0.4,1.1,0.1,0.0,0.0,0.1,1.7,1.8,0.0,,
06/16/2025 - 73,0.1,295.7,76.3,113.8,998.1,20.4,0.3,-0.8,136.9,"1,088.5",1.6,0.0,0.3,"1,427.9",120.6,0.3,0.2,0.2,-2.0,0.0,-0.4,1.9,0.1,0.0,0.0,0.1,7.8,2.0,0.0,,
06/23/2025 - 15,0.0,299.6,60.8,45.9,949.4,15.2,0.4,-0.8,112.0,"1,078.1",0.7,0.0,0.2,100.6,8.5,0.0,0.1,0.1,-1.9,-0.1,-0.4,1.3,0.1,0.0,0.0,0.0,1.6,2.0,0.0,,
06/30/2025 - 73,0.1,291.6,74.3,260.7,"1,220.9",20.2,0.6,-0.8,140.9,168.6,5.5,0.1,0.3,"1,384.5",115.3,0.3,0.1,-0.3,-2.3,0.0,-0.4,1.4,0.1,0.0,0.0,0.0,8.0,1.4,0.0,,
07/07/2025 - 15,0.0,290.7,61.4,40.8,"1,006.0",16.5,0.2,-0.8,80.3,802.1,0.7,-0.1,0.2,92.7,9.8,0.0,0.1,-0.9,-2.4,-0.1,-0.4,1.2,0.1,0.0,0.0,0.0,1.5,0.1,0.0,,
07/07/2025 - 73,0.1,272.6,69.0,103.3,"1,068.2",18.7,0.1,-0.8,95.8,980.0,1.8,0.0,0.2,"1,455.2",112.5,0.3,0.1,-0.9,-2.8,0.0,-0.4,1.7,0.1,0.0,0.0,0.0,7.2,0.2,0.0,,
07/14/2025 - 15,0.3,"1,240.1",483.6,387.9,"3,849.4",28.8,0.6,-0.7,701.6,"1,264.9",6.6,0.4,0.6,579.8,80.9,0.2,0.5,0.0,0.1,0.1,-0.3,7.4,0.4,0.0,0.0,0.2,13.8,0.6,0.2,,
07/21/2025 - 15,0.5,"1,682.9",699.6,428.0,"5,357.1",40.0,6.0,-0.6,"1,002.0","1,794.9",7.2,0.5,0.7,707.7,93.6,0.3,1.1,0.2,3.0,0.1,-0.3,10.9,0.3,0.0,0.0,0.2,18.7,0.6,0.1,,
07/28/2025 - 15,0.4,"1,866.6",751.3,444.4,"6,052.8",39.8,8.5,-0.6,"1,101.7","1,994.9",6.5,0.4,0.6,604.2,94.1,0.3,0.9,0.3,1.1,0.0,-0.4,12.0,0.3,0.0,0.0,0.2,20.0,0.8,0.0,,
08/04/2025 - 15,0.3,"1,186.3",513.9,350.9,"3,836.7",28.7,0.7,-0.4,698.7,"1,316.2",6.4,0.4,0.4,555.4,79.5,0.3,0.4,-0.3,-0.7,0.0,-0.4,7.9,0.2,0.0,0.0,0.1,13.0,0.4,0.0,,
08/11/2025 - 15,0.3,"1,217.4",536.1,250.8,"3,729.2",28.7,0.8,-0.7,702.7,"1,298.2",3.5,0.3,0.9,567.7,120.0,0.3,0.6,1.5,-0.4,0.0,-0.4,8.1,0.3,0.0,0.0,0.1,14.4,0.6,0.0,,
08/11/2025 - 16,0.2,"1,455.9",609.8,26.9,"4,168.7",21.4,15.9,-0.6,815.0,"1,603.1",0.5,0.0,0.9,174.6,6.3,0.2,2.1,-0.3,3.1,0.0,-0.4,9.4,0.3,0.0,0.0,0.2,10.1,0.3,0.0,,
