attributeName	code	definition
Flag_EXOBattery_V_1	0	no flag
Flag_EXOBattery_V_1	1	value removed due to maintenance and set to NA
Flag_EXOBattery_V_1	7	missing data
Flag_EXOBattery_V_9	0	no flag
Flag_EXOBattery_V_9	1	value removed due to maintenance and set to NA
Flag_EXOBattery_V_9	4	value removed due to fouling and set to NA
Flag_EXOBattery_V_9	7	missing data
Flag_EXOBGAPC_RFU_1	0	no flag
Flag_EXOBGAPC_RFU_1	1	value removed due to maintenance and set to NA
Flag_EXOBGAPC_RFU_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOBGAPC_RFU_1	3	negative values set to 0
Flag_EXOBGAPC_RFU_1	7	missing data
Flag_EXOBGAPC_ugL_1	0	no flag
Flag_EXOBGAPC_ugL_1	1	value removed due to maintenance and set to NA
Flag_EXOBGAPC_ugL_1	3	negative values set to 1
Flag_EXOBGAPC_ugL_1	7	missing data
Flag_EXOCablepower_V_1	0	no flag
Flag_EXOCablepower_V_1	1	value removed due to maintenance and set to NA
Flag_EXOCablepower_V_1	7	missing data
Flag_EXOCablepower_V_9	0	no flag
Flag_EXOCablepower_V_9	1	value removed due to maintenance and set to NA
Flag_EXOCablepower_V_9	4	value removed due to fouling and set to NA
Flag_EXOCablepower_V_9	7	missing data
Flag_EXOChla_RFU_1	0	no flag
Flag_EXOChla_RFU_1	1	value removed due to maintenance and set to NA
Flag_EXOChla_RFU_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOChla_RFU_1	7	missing data
Flag_EXOChla_ugL_1	0	no flag
Flag_EXOChla_ugL_1	1	value removed due to maintenance and set to NA
Flag_EXOChla_ugL_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOChla_ugL_1	3	negative values set to 2
Flag_EXOChla_ugL_1	7	missing data
Flag_EXOCond_uScm_1	0	no flag
Flag_EXOCond_uScm_1	1	value removed due to maintenance and set to NA
Flag_EXOCond_uScm_1	7	missing data
Flag_EXOCond_uScm_9	0	no flag
Flag_EXOCond_uScm_9	1	value removed due to maintenance and set to NA
Flag_EXOCond_uScm_9	4	value removed due to fouling and set to NA
Flag_EXOCond_uScm_9	7	missing data
Flag_EXODepth_m_1	0	no flag
Flag_EXODepth_m_1	1	value removed due to maintenance and set to NA
Flag_EXODepth_m_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXODepth_m_1	7	missing data
Flag_EXODepth_m_9	0	no flag
Flag_EXODepth_m_9	1	value removed due to maintenance and set to NA
Flag_EXODepth_m_9	4	value removed due to fouling and set to NA
Flag_EXODepth_m_9	7	missing data
Flag_EXODO_mgL_1	0	no flag
Flag_EXODO_mgL_1	1	value removed due to maintenance and set to NA
Flag_EXODO_mgL_1	7	missing data
Flag_EXODO_mgL_9	0	no flag
Flag_EXODO_mgL_9	1	value removed due to maintenance and set to NA
Flag_EXODO_mgL_9	4	value removed due to fouling and set to NA
Flag_EXODO_mgL_9	7	missing data
Flag_EXODOsat_percent_1	0	no flag
Flag_EXODOsat_percent_1	1	value removed due to maintenance and set to NA
Flag_EXODOsat_percent_1	7	missing data
Flag_EXODOsat_percent_9	0	no flag
Flag_EXODOsat_percent_9	1	value removed due to maintenance and set to NA
Flag_EXODOsat_percent_9	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXODOsat_percent_9	4	value removed due to fouling and set to NA
Flag_EXODOsat_percent_9	7	missing data
Flag_EXOfDOM_QSU_1	0	no flag
Flag_EXOfDOM_QSU_1	1	value removed due to maintenance and set to NA
Flag_EXOfDOM_QSU_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOfDOM_QSU_1	3	negative values set to 3
Flag_EXOfDOM_QSU_1	7	missing data
Flag_EXOfDOM_QSU_9	0	no flag
Flag_EXOfDOM_QSU_9	1	value removed due to maintenance and set to NA
