Reservoir,Site,DateTime EST,WeirWaterLevel_cm,Flag_WaterLevel,notes
FCR,100,3/29/2022 14:20,10,1,
FCR,100,4/19/2022 11:45,12.5,1,
FCR,100,5/2/2022 15:22,10,1,
FCR,100,5/9/2022 15:34,10,1,
FCR,100,5/12/2022 14:10,9.5,0,
FCR,100,5/23/2022 12:12,28.5,1,
FCR,100,6/7/2022 14:27,29,1,
FCR,100,6/13/2022 14:50,28.5,1,
FCR,100,6/27/2022 12:06,28,1,
FCR,100,7/5/2022 9:11,8,1,Tunnel Closed on Previous Friday
FCR,100,7/18/2022 9:00,9,1,
FCR,100,8/1/2022 8:54,9.5,1,
FCR,100,8/18/2022 11:35,9,1,
FCR,100,8/29/2022 9:53,8,1,
FCR,100,9/13/2022 12:10,9.5,1,
FCR,100,9/26/2022 12:34,9,1,
FCR,100,10/11/2022 12:32,8,0,
FCR,100,11/8/2022 14:20,9,1,
FCR,100,11/16/2022 15:08,14,0,
FCR,100,11/28/2022 13:55,9,0,
FCR,100,12/12/2022 11:04,10.5,0,
