attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical	dimensionless		NA	value is missing
Site	Sampling site at each reservoir; see site_descriptions.csv provided in this data package for further information regarding sampling sites	numeric	dimensionless		NA	value is missing
DataStream	Code corresponding to data set nickname, manual-discharge	character	dimensionless		NA	value is missing
TIMESTAMP_start	Date and time maintenance began. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset.	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
TIMESTAMP_end	Date and time maintenance ended. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset.	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
start_parameter	Name of variable corresponding to first parameter QAQC'ed	character			NA	value is missing
end_parameter	Name of variable corresponding to last parameter QAQC'ed	character			NA	value is missing
flag	Flag assigned to measurement 	categorical			NA	value is missing
update_value	Value to be updated if applicable	numeric	cubicMetersPerSecond		NA	value is missing
notes	Notes on why flagging occurred	character			NA	value is missing
