attributeName	code	definition
DataStream	YSI	Data stream for handheld sensors
Reservoir	BVR	Beaverdam Reservoir
Reservoir	FCR	Falling Creek Reservoir
end_parameter	DOsat_percent	Dissolved oxygen percent saturation 
flag	2	Instrument malfunction
flag	5	Suspect sample but left in dataset
start_parameter	DO_mgL	Dissolved oxygen milligrams per liter
start_parameter	DOsat_percent	Dissolved oxygen percent saturation 
start_parameter	ORP_mV	Oxidation-reduction potential in millivolts
start_parameter	PAR_umolm2s	Photosynthetic active radiation 
start_parameter	pH	pH
