attributeName	code	definition
Flag_AvgSedFlux_gm2d	1	No issues
Flag_AvgSedFlux_gm2d	2	Missing value
Flag_AvgSedFlux_gm2d	3	Data flags are present for one or more of the variables used to calculate this value. See FilteringLog_EDI.csv or CN_Metals_Flux_EDI.csv
Flag_TFeFlux_gm2d	1	No issues
Flag_TFeFlux_gm2d	2	Missing value
Flag_TFeFlux_gm2d	3	Values for two replicate sediment traps averaged
Flag_TMnFlux_gm2d	1	No issues
Flag_TMnFlux_gm2d	2	Missing value
Flag_TMnFlux_gm2d	3	Values for two replicate sediment traps averaged
Flag_TNFlux_gm2d	1	No issues
Flag_TNFlux_gm2d	2	Missing value
Flag_TOCFlux_gm2d	1	No issues
Flag_TOCFlux_gm2d	2	Missing value
Reservoir	BVR	Beaverdam Reservoir
Reservoir	FCR	Falling Creek Reservoir
