"Reservoir","Site","Site_description","Latitude","Longitude"
"BVR",1.1,"Toe drain site at right-most outflow below Beaverdam Reservoir (when facing dam)",37.312969,-79.814467
"BVR",1.2,"Toe drain site at middle outflow below Beaverdam Reservoir (when facing dam)",37.312719,-79.814879
"BVR",1.3,"Toe drain site at left-most outflow below Beaverdam Reservoir (when facing dam)",37.312483,-79.815011
"BVR",1.4,"Pool site at bottom of left-most outflow toe drain below Beaverdam Reservoir",37.312592,-79.814946
"BVR",20,"Pelagic upstream site on western arm in central part of depth transect of Beaverdam Reservoir approximately 1/3 of the distance between the western reservoir inflow and the confluence of the two reservoir arms closest to the inflow (when reservoir is at full pond)",37.31701,-79.8226
"BVR",30,"Pelagic upstream site on eastern arm in central part of depth transect at Beaverdam Reservoir; approximately halfway point between eastern reservoir inflow and confluence of two reservoir arms (when reservoir is at full pond)",37.31921,-79.8182
"BVR",40,"Pelagic upstream site in Beaverdam Reservoir at the location of the upstream pipe outflow leading to Falling Creek Reservoir",37.314783,-79.820864
"BVR",45,"Pelagic upstream site in central part of depth transect of Beaverdam Reservoir approximately halfway from reservoir arm confluence and the dam",37.31447,-79.8187
"BVR",50,"Pelagic deep hole site nearest to dam; at BVR platform closest to dam",37.31288,-79.8159
"BVR",100,"Inflow stream site to BVR on western reservoir arm",37.31957,-79.82437
"BVR",200,"Inflow stream site to BVR on eastern reservoir arm that drains upstream impoundment",37.322851,-79.81721
"FCR",1,"Outflow site at spillway",37.3024826356053,-79.8373672020725
"FCR",1.1,"FCR toe drain",37.3021056538632,-79.8368220365875
"FCR",20,"Upstream pelagic site at deepest point of transect across the reservoir",37.30769,-79.8371
"FCR",30,"Upstream pelagic site at deepest point of transect across the reservoir",37.30534,-79.8383
"FCR",45,"Upstream pelagic site at deepest point of transect across the reservoir",37.30418,-79.8383
"FCR",50,"Deep hole or site nearest to dam",37.30325,-79.8373
"FCR",99,"Farthest downstream site on inflow stream",37.307613,79.8360878
"FCR",100,"Inflow stream",37.30858,-79.83494
"FCR",101,"Upstream site along inflow",37.309653,-79.830467
"FCR",102,"Furthest upstream site on inflow stream",37.311678,-79.827357
"FCR",200,"Secondary inflow (wetland) stream",37.30943,-79.83619
