2022 ranged CAL Measured headspace CH4  in ppm from GC in ppm,2022 CAL Measured headspace CO2 in ppm from GC in ppm,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Analyst code,Note,Date/Time Sampled,Reservoir,Site,Sample ID,Rep,Water Vial
0.37,505,49,BRN06may22_001.gcd,5/6/22 9:58,air,Unknown,0,6.051,"1,944",-0.001,-----,-----,-----,-----,,49,BRN06may22_001.gcd,5/6/22 9:58,air,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,49,BRN06may22_001.gcd,5/6/22 9:58,air,Unknown,0,12.226,"2,945",0.549,-----,-----,-----,-----,,1,,,BVR,,,,
9825.63,8775,50,BRN06may22_002.gcd,5/6/22 10:28,air + 100,Unknown,0,5.985,"5,086,103",10.346,-----,-----,-----,-----,,50,BRN06may22_002.gcd,5/6/22 10:28,air + 100,Unknown,0,5.939,"38,965",9.681,-----,-----,-----,-----,,50,BRN06may22_002.gcd,5/6/22 10:28,air + 100,Unknown,0,12.122,"43,187",9.025,-----,-----,-----,-----,,1,,,BVR,,,,
47.28,518,51,BRN06may22_003.gcd,5/6/22 10:59,128,Unknown,0,6.003,"21,203",0.038,-----,-----,-----,-----,,51,BRN06may22_003.gcd,5/6/22 10:59,128,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,51,BRN06may22_003.gcd,5/6/22 10:59,128,Unknown,0,12.155,"3,010",0.562,-----,-----,-----,-----,,1,,,BVR,,,,Water
44.77,454,52,BRN06may22_004.gcd,5/6/22 11:29,37,Unknown,0,6.003,"20,134",0.036,-----,-----,-----,-----,,52,BRN06may22_004.gcd,5/6/22 11:29,37,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,52,BRN06may22_004.gcd,5/6/22 11:29,37,Unknown,0,12.155,"2,699",0.496,-----,-----,-----,-----,,1,,,BVR,,,,Water
51.57,485,53,BRN06may22_005.gcd,5/6/22 12:00,66,Unknown,0,6.004,"23,035",0.042,-----,-----,-----,-----,,53,BRN06may22_005.gcd,5/6/22 12:00,66,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,53,BRN06may22_005.gcd,5/6/22 12:00,66,Unknown,0,12.155,"2,849",0.528,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
38.57,1354,54,BRN06may22_006.gcd,5/6/22 12:30,132,Unknown,0,6.006,"17,488",0.031,-----,-----,-----,-----,,54,BRN06may22_006.gcd,5/6/22 12:30,132,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,54,BRN06may22_006.gcd,5/6/22 12:30,132,Unknown,0,12.149,"7,056",1.423,-----,-----,-----,-----,,1,,,BVR,,,,Water
46.05,322,55,BRN06may22_007.gcd,5/6/22 13:01,173,Unknown,0,6.011,"20,677",0.037,-----,-----,-----,-----,,55,BRN06may22_007.gcd,5/6/22 13:01,173,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,55,BRN06may22_007.gcd,5/6/22 13:01,173,Unknown,0,12.163,"2,060",0.36,-----,-----,-----,-----,,1,,,BVR,,,,Water
35.18,1428,56,BRN06may22_008.gcd,5/6/22 13:31,34,Unknown,0,6.006,"16,042",0.028,-----,-----,-----,-----,,56,BRN06may22_008.gcd,5/6/22 13:31,34,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,56,BRN06may22_008.gcd,5/6/22 13:31,34,Unknown,0,12.162,"7,417",1.499,-----,-----,-----,-----,,1,,,BVR,,,,Water
45.47,432,57,BRN06may22_009.gcd,5/6/22 14:02,74,Unknown,0,6.007,"20,433",0.036,-----,-----,-----,-----,,57,BRN06may22_009.gcd,5/6/22 14:02,74,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,57,BRN06may22_009.gcd,5/6/22 14:02,74,Unknown,0,12.154,"2,594",0.474,-----,-----,-----,-----,,1,,,BVR,,,,Water
0.96,436,58,BRN06may22_010.gcd,5/6/22 14:33,111,Unknown,0,6.066,"2,349",0,-----,-----,-----,-----,,58,BRN06may22_010.gcd,5/6/22 14:33,111,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,58,BRN06may22_010.gcd,5/6/22 14:33,111,Unknown,0,12.183,"2,610",0.477,-----,-----,-----,-----,,1,,2022-05-05 9:57,BVR,1,1,1,
1.18,503,59,BRN06may22_011.gcd,5/6/22 15:03,72,Unknown,0,6.059,"2,494",0,-----,-----,-----,-----,,59,BRN06may22_011.gcd,5/6/22 15:03,72,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,59,BRN06may22_011.gcd,5/6/22 15:03,72,Unknown,0,12.196,"2,938",0.547,-----,-----,-----,-----,,1,,2022-05-05 2:04,BVR,50,2,1,
,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,did not run and interupted the run.  It had a cap that was not magnetic. ,,,,,,
0.35,488,60,BRN06may22_013.gcd,5/9/22 10:42,108,Unknown,0,6.063,"1,931",-0.001,-----,-----,-----,-----,,60,BRN06may22_013.gcd,5/9/22 10:42,108,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,60,BRN06may22_013.gcd,5/9/22 10:42,108,Unknown,0,12.235,"2,668",0.49,-----,-----,-----,-----,,1,,Vial number not recorded in field sheets ,BVR,,,,
0.81,396,61,BRN06may22_014.gcd,5/9/22 11:12,125,Unknown,0,6.057,"2,250",0,-----,-----,-----,-----,,61,BRN06may22_014.gcd,5/9/22 11:12,125,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,61,BRN06may22_014.gcd,5/9/22 11:12,125,Unknown,0,12.197,"2,417",0.436,-----,-----,-----,-----,,1,,2022-05-05 10:01,BVR,1,5,1,
0.64,390,62,BRN06may22_015.gcd,5/9/22 11:43,197,Unknown,0,6.063,"2,137",0,-----,-----,-----,-----,,62,BRN06may22_015.gcd,5/9/22 11:43,197,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,62,BRN06may22_015.gcd,5/9/22 11:43,197,Unknown,0,12.205,"2,388",0.43,-----,-----,-----,-----,,1,,2022-05-05 10:16,BVR,1,5,2,
1.04,243,63,BRN06may22_016.gcd,5/9/22 12:14,92,Unknown,0,6.065,"2,402",0,-----,-----,-----,-----,,63,BRN06may22_016.gcd,5/9/22 12:14,92,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,63,BRN06may22_016.gcd,5/9/22 12:14,92,Unknown,0,12.211,"1,680",0.279,-----,-----,-----,-----,,1,,2022-05-05 2:07,BVR,50,5,1,
0.72,383,64,BRN06may22_017.gcd,5/9/22 12:44,12,Unknown,0,6.065,"2,189",0,-----,-----,-----,-----,,64,BRN06may22_017.gcd,5/9/22 12:44,12,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,64,BRN06may22_017.gcd,5/9/22 12:44,12,Unknown,0,12.2,"2,356",0.423,-----,-----,-----,-----,,1,,2022-05-05 10:15,BVR,1,4,2,
0.62,384,65,BRN06may22_018.gcd,5/9/22 13:15,191,Unknown,0,6.065,"2,124",-0.001,-----,-----,-----,-----,,65,BRN06may22_018.gcd,5/9/22 13:15,191,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,65,BRN06may22_018.gcd,5/9/22 13:15,191,Unknown,0,12.212,"2,358",0.424,-----,-----,-----,-----,,1,,2022-05-05 2:05,BVR,50,3,1,
1.03,494,66,BRN06may22_019.gcd,5/9/22 13:45,175,Unknown,0,6.063,"2,395",0,-----,-----,-----,-----,,66,BRN06may22_019.gcd,5/9/22 13:45,175,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,66,BRN06may22_019.gcd,5/9/22 13:45,175,Unknown,0,12.206,"2,891",0.537,-----,-----,-----,-----,,1,,2022-05-05 10:12,BVR,1,1,2,
0.75,570,67,BRN06may22_020.gcd,5/9/22 14:16,196,Unknown,0,6.07,"2,210",0,-----,-----,-----,-----,,67,BRN06may22_020.gcd,5/9/22 14:16,196,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,67,BRN06may22_020.gcd,5/9/22 14:16,196,Unknown,0,12.205,"3,262",0.616,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.71,373,68,BRN06may22_021.gcd,5/9/22 14:46,96,Unknown,0,6.073,"2,185",0,-----,-----,-----,-----,,68,BRN06may22_021.gcd,5/9/22 14:46,96,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,68,BRN06may22_021.gcd,5/9/22 14:46,96,Unknown,0,12.218,"2,308",0.413,-----,-----,-----,-----,,1,,2022-05-05 2:03,BVR,50,1,1,
1.1,341,69,BRN06may22_022.gcd,5/9/22 15:17,107,Unknown,0,6.055,"2,443",0,-----,-----,-----,-----,,69,BRN06may22_022.gcd,5/9/22 15:17,107,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,69,BRN06may22_022.gcd,5/9/22 15:17,107,Unknown,0,12.208,"2,151",0.38,-----,-----,-----,-----,,1,,2022-05-05 2:06,BVR,50,4,1,
0.7,398,70,BRN06may22_023.gcd,5/9/22 15:47,69,Unknown,0,6.065,"2,178",0,-----,-----,-----,-----,,70,BRN06may22_023.gcd,5/9/22 15:47,69,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,70,BRN06may22_023.gcd,5/9/22 15:47,69,Unknown,0,12.225,"2,430",0.439,-----,-----,-----,-----,,1,,2022-05-05 9:58,BVR,1,2,1,
0.91,363,71,BRN06may22_024.gcd,5/9/22 16:18,168,Unknown,0,6.062,"2,318",0,-----,-----,-----,-----,,71,BRN06may22_024.gcd,5/9/22 16:18,168,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,71,BRN06may22_024.gcd,5/9/22 16:18,168,Unknown,0,12.221,"2,259",0.403,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.67,374,72,BRN06may22_025.gcd,5/9/22 16:48,149,Unknown,0,6.073,"2,153",0,-----,-----,-----,-----,,72,BRN06may22_025.gcd,5/9/22 16:48,149,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,72,BRN06may22_025.gcd,5/9/22 16:48,149,Unknown,0,12.218,"2,312",0.414,-----,-----,-----,-----,,1,,2022-05-05 2:21,BVR,50,4,2,
0.74,238,73,BRN06may22_026.gcd,5/9/22 17:19,206,Unknown,0,6.06,"2,203",0,-----,-----,-----,-----,,73,BRN06may22_026.gcd,5/9/22 17:19,206,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,73,BRN06may22_026.gcd,5/9/22 17:19,206,Unknown,0,12.207,"1,654",0.274,-----,-----,-----,-----,,1,,2022-05-05 2:19,BVR,50,2,2,
0.52,393,74,BRN06may22_027.gcd,5/9/22 17:50,44,Unknown,0,6.066,"2,052",-0.001,-----,-----,-----,-----,,74,BRN06may22_027.gcd,5/9/22 17:50,44,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,74,BRN06may22_027.gcd,5/9/22 17:50,44,Unknown,0,12.214,"2,429",0.439,-----,-----,-----,-----,,1,,2022-05-05 2:18,BVR,50,1,2,
0.88,356,75,BRN06may22_028.gcd,5/9/22 18:20,188,Unknown,0,6.066,"2,297",0,-----,-----,-----,-----,,75,BRN06may22_028.gcd,5/9/22 18:20,188,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,75,BRN06may22_028.gcd,5/9/22 18:20,188,Unknown,0,12.229,"2,223",0.395,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.88,423,76,BRN06may22_029.gcd,5/9/22 18:51,133,Unknown,0,6.073,"2,300",0,-----,-----,-----,-----,,76,BRN06may22_029.gcd,5/9/22 18:51,133,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,76,BRN06may22_029.gcd,5/9/22 18:51,133,Unknown,0,12.226,"2,549",0.464,-----,-----,-----,-----,,1,,2022-05-05 10:00,BVR,1,4,1,
1,391,77,BRN06may22_030.gcd,5/9/22 19:21,57,Unknown,0,6.067,"2,377",0,-----,-----,-----,-----,,77,BRN06may22_030.gcd,5/9/22 19:21,57,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,77,BRN06may22_030.gcd,5/9/22 19:21,57,Unknown,0,12.232,"2,395",0.432,-----,-----,-----,-----,,1,,2022-05-05 10:14,BVR,1,3,2,
0.6,411,78,BRN06may22_031.gcd,5/9/22 19:52,147,Unknown,0,6.066,"2,105",-0.001,-----,-----,-----,-----,,78,BRN06may22_031.gcd,5/9/22 19:52,147,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,78,BRN06may22_031.gcd,5/9/22 19:52,147,Unknown,0,12.22,"2,490",0.452,-----,-----,-----,-----,,1,,2022-05-05 10:13,BVR,1,2,2,
0.88,321,79,BRN06may22_032.gcd,5/9/22 20:23,68,Unknown,0,6.071,"2,295",0,-----,-----,-----,-----,,79,BRN06may22_032.gcd,5/9/22 20:23,68,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,79,BRN06may22_032.gcd,5/9/22 20:23,68,Unknown,0,12.242,"2,054",0.359,-----,-----,-----,-----,,1,,2022-05-05 2:22,BVR,50,5,2,
1.46,395,49,BRN10may22_001.gcd,5/10/22 10:52,air,Unknown,0,6.074,"2,671",0.001,-----,-----,-----,-----,,49,BRN10may22_001.gcd,5/10/22 10:52,air,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,49,BRN10may22_001.gcd,5/10/22 10:52,air,Unknown,0,12.273,"2,411",0.435,-----,-----,-----,-----,,1,,,BVR,,,,
868.03,957,50,BRN10may22_002.gcd,5/10/22 11:22,air + 100,Unknown,0,6.014,"375,580",0.754,-----,-----,-----,-----,,50,BRN10may22_002.gcd,5/10/22 11:22,air + 100,Unknown,0,5.967,"3,269",0.952,-----,-----,-----,-----,,50,BRN10may22_002.gcd,5/10/22 11:22,air + 100,Unknown,0,12.214,"5,134",1.014,-----,-----,-----,-----,,1,,,BVR,,,,
70.26,1631,51,BRN10may22_003.gcd,5/10/22 11:53,208 faulty sample- more than 3 ml bubble no helium added,Unknown,0,6.019,"31,008",0.058,-----,-----,-----,-----,,51,BRN10may22_003.gcd,5/10/22 11:53,208 faulty sample- more than 3 ml bubble no helium added,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,51,BRN10may22_003.gcd,5/10/22 11:53,208 faulty sample- more than 3 ml bubble no helium added,Unknown,0,12.182,"8,399",1.708,-----,-----,-----,-----,,1,,,BVR,,,,
3826.38,11769,52,BRN10may22_004.gcd,5/10/22 12:23,91,Unknown,0,6.01,"1,847,484",3.736,-----,-----,-----,-----,,52,BRN10may22_004.gcd,5/10/22 12:23,91,Unknown,0,5.964,"14,584",3.726,-----,-----,-----,-----,,52,BRN10may22_004.gcd,5/10/22 12:23,91,Unknown,0,12.137,"57,853",12.071,-----,-----,-----,-----,,1,,,BVR,,,,Water 
