Reservoir,Site,DateTime,Depth_m,Rep,RunDate,TP_ugL,TN_ugL,Notes_lachat,SampleID_lachat
BVR,50,5/3/21 10:15,0.1,,6/8/21,18.9,184,,B 03may21 0.1
BVR,50,5/3/21 11:01,11,,6/8/21,14.9,248,,B 03may21 11.0
BVR,50,5/3/21 10:26,3,,6/8/21,17.5,193,,B 03may21 3.0
BVR,50,5/3/21 10:39,6,,6/8/21,16.9,218,,B 03may21 6.0
BVR,50,5/3/21 10:43,9,,6/8/21,17.4,189,,B 03may21 9.0
BVR,50,4/5/21 11:00,0.1,,6/8/21,21.5,251,,B 05apr21 0.1
BVR,50,4/5/21 11:26,11,,6/8/21,24.2,237,,B 05apr21 11.0
BVR,50,4/5/21 11:07,3,,6/8/21,21.8,196,,B 05apr21 3.0
BVR,50,4/5/21 11:08,6,,6/8/21,19.7,208,,B 05apr21 6.0
BVR,50,4/5/21 11:15,9,,6/8/21,20,198,,B 05apr21 9.0
BVR,50,3/8/21 10:28,0.1,,6/8/21,16.1,217,,B 08mar21 0.1
BVR,50,3/8/21 10:58,11,,6/8/21,78.8,439,,B 08mar21 11.0
BVR,50,3/8/21 10:28,3,,6/8/21,15.9,178,,B 08mar21 3.0
BVR,50,3/8/21 10:38,6,,6/8/21,15.8,179,,B 08mar21 6.0
BVR,50,3/8/21 10:49,9,,6/8/21,14.7,200,,B 08mar21 9.0
BVR,50,5/14/21 10:07,0.1,,6/8/21,14.7,190,,B 14may21 0.1
BVR,50,5/14/21 11:10,11,,6/8/21,18.9,307,,B 14may21 11.0
BVR,50,5/14/21 10:24,3,,6/8/21,12.8,146,,B 14may21 3.0
BVR,50,5/14/21 10:37,6,,6/8/21,16.1,167,,B 14may21 6.0
BVR,50,5/14/21 10:52,9,,6/8/21,14.6,161,,B 14may21 9.0
CCR,501,5/11/21 9:45,0.1,,6/8/21,9.79,230,,C 11may21 CCT 500 0.1
CCR,500,5/11/21 10:19,0.1,,6/8/21,11.4,158,,C 11may21 CCTroad 0.1
CCR,300,5/11/21 11:07,0.1,,6/8/21,6.01,109,,C 11may21 inf C 300 0.1
CCR,400,5/11/21 12:04,0.1,,6/8/21,31.9,286,,C 11may21 TCT 400 0.1
CCR,50,4/19/21 10:22,0.1,,6/8/21,8.9,148,,C 19apr21 0.1
CCR,50,4/19/21 10:37,20,,6/8/21,13.3,147,,C 19apr21 20.0
CCR,50,4/19/21 10:25,6,,6/8/21,10.9,162,,C 19apr21 6.0
CCR,50,4/19/21 10:31,9,,6/8/21,8.93,136,,C 19apr21 9.0
CCR,100,4/19/21 12:59,0.1,,6/8/21,6.44,85.8,,C 19apr21 HPBinf 100
CCR,300,4/19/21 14:00,0.1,,6/8/21,8.47,110,,C 19apr21 inf c 300
CCR,400,4/19/21 15:02,0.1,,6/8/21,8.57,87.6,,C 19apr21 TCT 400 inf
FCR,50,5/6/21 10:50,0.1,,6/8/21,25,200,,F 06may21 0.1
FCR,50,5/6/21 11:05,1.6,,6/8/21,24.7,209,,F 06may21 1.6
FCR,50,5/6/21 11:12,3.8,,6/8/21,27.2,234,,F 06may21 3.8
FCR,50,5/6/21 11:20,5,,6/8/21,24.6,227,,F 06may21 5.0
FCR,50,5/6/21 11:27,6.2,,6/8/21,20.6,171,,F 06may21 6.2
FCR,50,5/6/21 11:35,8,,6/8/21,20.4,186,,F 06may21 8.0
FCR,50,5/6/21 11:42,9,,6/8/21,27.2,330,,F 06may21 9.0
FCR,100.1,5/6/21 15:30,0.1,R1,6/8/21,258.4,1200,4x diluted value used for TP,F 06may21 ISCO A
FCR,100.1,5/6/21 15:30,0.1,R2,6/8/21,216.8,836,4x diluted value used for TP,F 06may21 ISCO B
FCR,100,5/6/21 15:30,0.1,,6/8/21,32,221,,F 06may21 weir
FCR,50,2/8/21 11:22,0.1,,6/8/21,21.7,175,,F 08feb21 0.1
FCR,50,2/8/21 11:36,1.6,,6/8/21,21.5,208,,F 08feb21 1.6
