Sample_Date,Reservoir,Site,Depth_m,TFe_ppb,SFe_ppb,TMn_ppb,SMn_ppb
2022-05-09,FCR,50,0.1,350.1,118.4,28.2,3.3
2022-05-09,FCR,50,1.6,345.2,123.5,26.8,1.5
2022-05-09,FCR,50,3.8,431.6,69.9,49.6,1.2
2022-05-09,FCR,50,5,432.8,33.8,53.1,1.4
2022-05-09,FCR,50,6.2,454.9,42.2,76.4,15.7
2022-05-09,FCR,50,8,"1,023.10",152.9,303.8,251
2022-05-09,FCR,50,9,"1,301.20",,477.8,
2022-05-09,FCR,100,0.1,,5.7,,1
2022-05-09,FCR,200,0.1,,880.9,,65.3
2022-05-09,BVR,50,0.1,216,15.5,45.9,0.8
2022-05-09,BVR,50,3,208.2,15.3,47.2,1.2
2022-05-09,BVR,50,6,478.8,8.7,101.8,4.9
2022-05-09,BVR,50,9,"3,933.50","3,334.60",597.8,573.1
2022-05-09,BVR,40,0.1,230.2,21,53.3,0.6
2022-05-09,FCR,40,3,335,41.2,76.2,6.3
2022-05-09,BVR,40,4,343,33.7,96.4,2
2022-05-17,FCR,50,0.1,254.6,114.5,16.3,2.4
2022-05-17,FCR,50,1.6,261.5,109.9,15.9,1.3
2022-05-17,FCR,50,3.8,281,93.6,26.6,0.6
2022-05-17,FCR,50,5,510.7,36.3,67.8,4.9
2022-05-17,FCR,50,6.2,701.4,5,117.2,20.4
2022-05-17,FCR,50,8,"1,514.80",522.7,578.3,562.5
2022-05-17,FCR,50,9,"8,715.30","8,033.10","1,524.90","1,485.40"
2022-05-17,FCR,100,0.1,,13.7,,0.8
2022-05-17,FCR,200,0.1,,"1,029.80",,50.7
2022-05-17,BVR,50,0.1,201.3,32.1,42.2,1.8
2022-05-17,BVR,50,3,196.7,28.6,41.4,1
2022-05-17,BVR,50,6,"1,034.00",11.9,343.7,306.7
2022-05-17,BVR,50,9,"6,916.00","6,752.30",725.9,711.9
2022-05-17,BVR,40,0.1,214.2,37,40,1.1
2022-05-17,BVR,40,3,219.7,33.4,42.9,0.8
2022-05-17,BVR,40,4,259.3,25.6,58.9,5.8
2022-05-23,FCR,50,0.1,316.3,157.4,17.4,1.7
2022-05-23,FCR,50,1.6,347.5,142.2,18.6,0.6
2022-05-23,FCR,50,3.8,391.3,132.6,26.1,0.5
2022-05-23,FCR,50,5,503.9,56.9,76.5,15.9
2022-05-23,FCR,50,6.2,"1,754.90",70.1,429.8,348.1
2022-05-23,FCR,50,8,"2,152.20",83.6,543.6,461.5
2022-05-23,FCR,50,9,"2,247.50",38.8,577.6,482
2022-05-23,FCR,100,0.1,,51.2,,4.8
2022-05-23,FCR,200,0.1,,"1,538.00",,92.8
2022-05-23,BVR,50,0.1,276.8,67.5,49.4,1
2022-05-23,BVR,50,3,262.5,62.2,48.3,2
2022-05-23,BVR,50,6,380.2,20.9,135.3,117.3
2022-05-23,BVR,50,9,"8,269.60","8,098.30",775.2,774.5
2022-05-23,BVR,40,0.1,315.9,71.5,52.3,1
2022-05-23,BVR,40,3,312.3,,53.9,
2022-05-23,BVR,40,4,294.3,45.8,47.9,17.6
