Reservoir	 Site	 Depth	 DataStream	 TIMESTAMP_start	 TIMESTAMP_end	 start_parameter	 end_parameter	 flag	 update_value	SN	 notes
NA	NA	NA	CTD	9/4/19 11:33	9/4/19 11:33	DO_mgL	Dosat_percent	2	NA	7809	DO pump wasn't working for this cast
NA	NA	NA	CTD	9/4/19 10:12	9/4/19 10:12	DO_mgL	Dosat_percent	2	NA	7809	DO pump wasn't working for this cast
NA	NA	NA	CTD	6/26/21	12/1/21	DO_mgL	Dosat_percent	2	"ctddata[Time, maintenance_cols]"	7809	Oxygen sensor reading too high in the hypolimnion and too low at the surface. Data are still usable and not set to NA
NA	NA	NA	CTD	8/4/20	12/1/21	pH	ORP_mV	2	NA	7809	pH sensor broke in summer 2020
NA	NA	NA	CTD	7/8/19	7/8/19	pH	pH	2	NA	7809	pH outside of reasonable range
NA	NA	NA	CTD	12/6/18	12/6/18	pH	pH	2	NA	7809	pH outside of reasonable range
NA	NA	NA	CTD	6/1/19	6/30/19	pH	pH	8	"ctddata[Time, maintenance_cols]"	7809	pH outside of reasonable range - suspect
NA	NA	NA	CTD	11/20/19	11/20/19	pH	pH	8	"ctddata[Time, maintenance_cols]"	7809	pH outside of reasonable range - suspect
NA	NA	NA	CTD	7/1/17	7/31/19	pH	pH	8	"ctddata[Time, maintenance_cols]"	7809	pH outside of reasonable range - suspect
NA	NA	NA	CTD	2/1/19	2/28/19	pH	pH	8	"ctddata[Time, maintenance_cols]"	7809	pH outside of reasonable range - suspect
FCR	NA	NA	CTD	3/12/17 12:00	3/12/17 12:00	Cond_uScm	Cond_uScm	2	NA	7809	crazy high conductivity
NA	NA	NA	CTD	5/17/22 10:17	5/17/22 10:17	Temp_C	SpCond_uScm	2	NA	7809	Issues with cond/temp/DO on these casts
NA	NA	NA	CTD	4/12/22 6:59	4/12/22 6:59	Temp_C	SpCond_uScm	2	NA	7809	SSS manipulation messed with cond/temp/do on this cast
BVR	NA	NA	CTD	7/24/23	7/24/23	Temp_C	SpCond_uScm	2	NA	7809	"Not totally sure what the issue is, but issues with temp/cond/DO on this cast"
