attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical	dimensionless		NA	Not applicable for mainteance issue
Site	Sampling site within each reservoir	numeric	dimensionless		NA	Not applicable for maintenance issue
Depth	Depth of observation with issues	numeric	meter		NA	Not applicable for maintenance issue
DataStream	"Name of data source (should always be ""CTD"" for this data package)"	character	dimensionless		NA	value is missing
TIMESTAMP_start	"Date and time maintenance began. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset."	Date		YYYY-MM-DD hh:mm:ss	NA	Maintenance started before the sensors were out
TIMESTAMP_end	"Date and time maintenance ended. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset."	Date		YYYY-MM-DD hh:mm:ss	NA	Maintenance is ongoing and has no current end date
start_parameter	Name of start variable in the sequence corresponding to catwalk sensor string data table names	character	dimensionless		NA	There is only one parameter flagged
end_parameter	Name of end variable in the sequence corresponding to catwalk sensor string data table names	character	dimensionless		NA	There is only one parameter flagged
flag	Data flag applied to associated variable (see metadata for applicable flags for each measured parameter)	numeric	dimensionless		NA	value is missing
update_value	New value to update the data to in the QAQC process	character			NA	No updated value used
SN	Four digit serial number of the CTD 	categorical			NA	Not applicable for maintenance issue
notes	Notes from the field crew on the maintenance or reason for changing the data	character			NA	No Note recorded
