attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical			NA	Value is missing
Site	Sampling site at each reservoir; see site_descriptions.csv provided in this data package for further information regarding sampling sites	numeric	dimensionless		NA	Value is missing
Date	Date of sampling	Date		YYYY-MM-DD	NA	Value is missing
Rep	"Replicate sample number. Samples are coded as either 1 or 2 for the first and second sampling period, respectively. Occasionally a third replicate was also collected and coded as 3."	numeric	dimensionless		NA	Value is missing
Start_time	"Start time for diffusive flux calculations, typically defined as 4 minutes before the visually identified end time using FluxCalR. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		hh:mm:ss	NA	Value is missing
End_time	"End time for diffusive flux calculations as visually identified using the FluxCalR package. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		hh:mm:ss	NA	Value is missing
Temp_C	Averaged ambient temperature from the measurement time period used to calculate diffusive fluxes in FluxCalR.	numeric	celsius		NA	Value is missing
CO2Slope_ppmS	"Slope of CO2 concentration over time, calculated using FluxCalR"	numeric	partsPerMillionPerSecond		NA	Value is missing
CO2_R2	R2 for the calculated slope for CO2 concentration	numeric	dimensionless		NA	Value is missing
CO2Flux_umolCm2s	Diffusive CO2 flux	numeric	micromolePerMeterSquaredPerSecond		NA	Value is missing
CH4Slope_ppmS	"Slope of CH4 concentration over time, calculated using FluxCalR"	numeric	partsPerMillionPerSecond		NA	Value is missing
CH4_R2	R2 for the calculated slope for CH4 concentration	numeric	dimensionless		NA	Value is missing
CH4Flux_umolCm2s	Diffusive CH4 flux	numeric	micromolePerMeterSquaredPerSecond		NA	Value is missing
Flag_CO2Flux_umolCm2s	Flag for diffusive CO2 flux.	categorical	dimensionless		NA	Value is missing
Flag_CH4Flux_umolCm2s	Flag for diffusive CH4 flux	categorical	dimensionless		NA	Value is missing
Flag_Start_time	Flag for start time.	categorical	dimensionless		NA	Value is missing
Flag_End_time	Flag for end time.	categorical	dimensionless		NA	Value is missing
