Reservoir,Site,Site_description,Latitude,Longitude
BVR,40,Pelagic upstream site in Beaverdam Reservoir at the location of the upstream pipe outflow leading to Falling Creek Reservoir,37.314783,-79.820864
BVR,50,Pelagic deep hole site nearest to dam; at BVR platform closest to dam,37.31288,-79.8159
FCR,10,Pelagic upstream site at central depth transect of Falling Creek Reservoir; halfway between confluence of Tunnel Branch and Falling Creek inflows,37.308619,-79.836774
FCR,20,Pelagic upstream site at central depth transect of Falling Creek Reservoir; adjacent to where Tunnel Branch inflow enters into the reservoir,37.30769,-79.8371
FCR,30,Pelagic upstream site at central depth transect of Falling Creek Reservoir; approximately halfway between dam and Falling Creek inflow,37.30534,-79.8383
FCR,45,Pelagic upstream site at central depth transect of Falling Creek Reservoir; where reservoir flow enters into the deep hole basin of the reservoir,37.30418,-79.8383
FCR,50,Pelagic deep hole site nearest to Falling Creek Reservoir dam; at end of FCR catwalk,37.30325,-79.8373
FCR,199.8,Inflow stream site on Falling Creek secondary inflow to Falling Creek Reservoir; the intersection of the inflow into the reservoir,37.30923,-79.8363
FCR,199.9,Inflow stream site on Falling Creek secondary inflow to Falling Creek Reservoir; the midway point betqeen the wetland site (FCR 200) and the intersection site (FCR 199.8),37.30958,-79.83602
FCR,10.1,"Littoral site directly west of site 10 at FCR. Macrophyte populated site, Juncus effusus dominant",37.30874,-79.83716
FCR,10.2,"Littoral site southwest of site 10 at FCR. Macrophyte populated site, Sparganium americanum dominant",37.3085,-79.83726
FCR,20.1,"Littoral site northwest of site 20 at FCR. Macrophyte populated site, Scirpus cyperinus dominant",37.30816,-79.83742
FCR,20.9,"Littoral site directly east of site 20 at FCR. Macrophyte populated site, Potamogeton pusillus dominant",37.30751,-79.83668
FCR,30.1,Littoral site northwest of site 30 at FCR. No macrophytes present,37.30554,-79.83862
FCR,30.9,Littoral site southeast of site 30 at FCR. No macrophytes present,37.3049,-79.83801
FCR,45.1,"Littoral site directly west of site 45 at FCR. Macrophyte populated site, Typha latifolia dominant",37.3042,-79.83884
